>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PCQM024.mapPosition[1] changed in second object (was 0.85, is 0.75)
root.PJW101_Eastern_dragon_king.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PWW001_DefaultCrew.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PGSB108_Bismarck.ShipAbilities.AbilitySlot3.abils[0][1] changed in second object (was Deutsche_C_8, is C_8)
root.PGSB108_Bismarck.ShipAbilities.AbilitySlot3.abils[1][1] changed in second object (was Deutsche_C_8_Premium, is C_8_Premium)
root.PJW015_Takao.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PJW102_Southern_dragon_king.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PXW102_Dr_Frankenship.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PFW001_DefaultCrew.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PCY012_FighterPremium.PAY623_F4F_float_Battleship_3.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PJY617_Mitsubishi_A6M2_N_Battleship_3.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY623_F4F_float_Battleship_6.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY623_F4F_float_Battleship_7.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY623_F4F_float_Battleship_4.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY623_F4F_float_Battleship_5.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY622_F3F_float_Battleship_3.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY622_F3F_float_Battleship_6.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY622_F3F_float_Battleship_7.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY622_F3F_float_Battleship_4.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY622_F3F_float_Battleship_5.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PJY602_Kawanishi_N1K1_Battleship_7.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PJY602_Kawanishi_N1K1_Battleship_6.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PJY602_Kawanishi_N1K1_Battleship_5.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PJY602_Kawanishi_N1K1_Battleship_4.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PJY602_Kawanishi_N1K1_Battleship_3.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY639_FW190A8_Battleship_5_HIDE.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY624_XP_40S_Battleship_5.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY624_XP_40S_Battleship_4.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY624_XP_40S_Battleship_7.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY624_XP_40S_Battleship_6.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY624_XP_40S_Battleship_3.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.Battleship_6_Gold.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.Battleship_4_Gold.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY638_BF109G_Battleship_4_HIDE.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.Battleship_7_Gold.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.Battleship_3_Gold.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.Battleship_5_Gold.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.costCR changed in second object (was 22500, is 7500)
root.PCY012_FighterPremium.PJY617_Mitsubishi_A6M2_N_Battleship_6.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY638_BF109G_Battleship_4.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PJY615_A4N2_N_Battleship_3.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PJY615_A4N2_N_Battleship_4.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PJY615_A4N2_N_Battleship_5.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PJY615_A4N2_N_Battleship_6.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PJY615_A4N2_N_Battleship_7.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY835_HD780_Battleship_3.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY621_F4B_float_Battleship_4.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY621_F4B_float_Battleship_5.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY621_F4B_float_Battleship_6.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY621_F4B_float_Battleship_7.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY621_F4B_float_Battleship_3.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY630_TA152C_Battleship_6.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PJY616_A5M2_N_Battleship_7.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PJY616_A5M2_N_Battleship_6.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PJY616_A5M2_N_Battleship_5.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PJY617_Mitsubishi_A6M2_N_Battleship_7.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PJY616_A5M2_N_Battleship_3.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY630_TA152C_Battleship_7.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY639_FW190A8_Battleship_5.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.costGold changed in second object (was 15, is 5)
root.PCY012_FighterPremium.PAY637_BF109E_Battleship_3.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PJY617_Mitsubishi_A6M2_N_Battleship_4.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PJY617_Mitsubishi_A6M2_N_Battleship_5.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PJY616_A5M2_N_Battleship_4.workTime changed in second object (was 360.0, is 60.0)
root.PCY012_FighterPremium.PAY630_TA152C_Battleship_7_HIDE.workTime changed in second object (was 360.0, is 60.0)
root.PJW010_Hiei.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PJW013_Kirishima_Bear.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PUSC506_Perth_1942.A_Hull.armourDeck[0] changed in second object (was 13.0, is 10.0)
root.PCY004_Fighter.Battleship_3.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.Battleship_5.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.Battleship_4.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.Battleship_7.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.Battleship_6.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY524_XP_40S_Battleship_6.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY524_XP_40S_Battleship_7.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY524_XP_40S_Battleship_4.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY524_XP_40S_Battleship_5.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY524_XP_40S_Battleship_3.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY523_F4F_float_Battleship_7.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY523_F4F_float_Battleship_6.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY523_F4F_float_Battleship_5.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY523_F4F_float_Battleship_4.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY523_F4F_float_Battleship_3.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PJY516_A5M2_N_Battleship_4.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PJY516_A5M2_N_Battleship_6.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PJY516_A5M2_N_Battleship_7.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PJY516_A5M2_N_Battleship_3.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PJY502_Kawanishi_N1K1_Battleship_3.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PJY502_Kawanishi_N1K1_Battleship_4.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PJY502_Kawanishi_N1K1_Battleship_5.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PJY502_Kawanishi_N1K1_Battleship_7.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY539_FW190A8_Battleship_5_HIDE.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY521_F4B_float_Battleship_5.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY521_F4B_float_Battleship_4.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY521_F4B_float_Battleship_7.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY521_F4B_float_Battleship_6.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY521_F4B_float_Battleship_3.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY539_FW190A8_Battleship_5.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY530_TA152C_Battleship_7_HIDE.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY735_HD780_Battleship_3.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PJY516_A5M2_N_Battleship_5.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY538_BF109G_Battleship_4_HIDE.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PJY502_Kawanishi_N1K1_Battleship_6.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PJY515_A4N2_N_Battleship_3.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PJY515_A4N2_N_Battleship_7.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PJY515_A4N2_N_Battleship_6.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PJY515_A4N2_N_Battleship_5.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PJY515_A4N2_N_Battleship_4.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PJY517_Mitsubishi_A6M2_N_Battleship_5.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PJY517_Mitsubishi_A6M2_N_Battleship_4.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PJY517_Mitsubishi_A6M2_N_Battleship_7.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PJY517_Mitsubishi_A6M2_N_Battleship_6.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PJY517_Mitsubishi_A6M2_N_Battleship_3.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY537_BF109E_Battleship_3.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY538_BF109G_Battleship_4.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY530_TA152C_Battleship_7.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY530_TA152C_Battleship_6.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY522_F3F_float_Battleship_3.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY522_F3F_float_Battleship_7.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY522_F3F_float_Battleship_6.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY522_F3F_float_Battleship_5.workTime changed in second object (was 360.0, is 60.0)
root.PCY004_Fighter.PAY522_F3F_float_Battleship_4.workTime changed in second object (was 360.0, is 60.0)
root.PJW009_Unknown.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PASB708_Alabama.ShipUpgradeInfo.costGold changed in second object (was 0, is 12200)
root.PJW011_Iona.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PJW014_Ashigara.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PJW017_ARP_Nachi.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
>> finished comparing
