>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PRGM095_130MM55_B7CAS.shotDelay changed in second object (was 9.2, is 8.1)
root.PRSD308_Pr_48.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PRSD308_Pr_48.B_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PRSD308_Pr_48.B_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PRSD308_Pr_48.B_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PRSD308_Pr_48.B_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PRSD001_Gremyashchy_1942.HullDefault.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PRSD001_Gremyashchy_1942.HullDefault.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PRSD001_Gremyashchy_1942.HullDefault.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PRSD001_Gremyashchy_1942.HullDefault.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PBSD506_Gallant.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PBSD506_Gallant.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PBSD506_Gallant.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PBSD506_Gallant.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PGSD103_G_101.B_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PGSD103_G_101.B_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PGSD103_G_101.B_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PGSD103_G_101.B_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PGSD103_G_101.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PGSD103_G_101.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PGSD103_G_101.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PGSD103_G_101.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PZSD110_Hsiang_Yang.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PZSD110_Hsiang_Yang.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PZSD110_Hsiang_Yang.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PZSD110_Hsiang_Yang.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PJSD206_Hatsuharu.B_Hull_1945.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PJSD206_Hatsuharu.B_Hull_1945.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PJSD206_Hatsuharu.B_Hull_1945.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PJSD206_Hatsuharu.B_Hull_1945.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PJSD206_Hatsuharu.A_Hull_1935.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PJSD206_Hatsuharu.A_Hull_1935.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PJSD206_Hatsuharu.A_Hull_1935.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PJSD206_Hatsuharu.A_Hull_1935.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PRSC508_Kutuzov_1952.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PRSC508_Kutuzov_1952.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PRSC508_Kutuzov_1952.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PRSC508_Kutuzov_1952.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PGSC110_Hindenburg.HullDefault.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PGSC110_Hindenburg.HullDefault.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PGSC110_Hindenburg.HullDefault.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PGSC110_Hindenburg.HullDefault.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PASC019_Burlington_1944.HullDefault.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PASC019_Burlington_1944.HullDefault.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PASC019_Burlington_1944.HullDefault.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PASC019_Burlington_1944.HullDefault.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PJSC012_Ibuki_1944.B_Hull_1945.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PJSC012_Ibuki_1944.B_Hull_1945.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PJSC012_Ibuki_1944.B_Hull_1945.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PJSC012_Ibuki_1944.B_Hull_1945.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PJSC012_Ibuki_1944.A_Hull_1944.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PJSC012_Ibuki_1944.A_Hull_1944.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PJSC012_Ibuki_1944.A_Hull_1944.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PJSC012_Ibuki_1944.A_Hull_1944.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PASD913_Gearing_1945.HullDefault.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PASD913_Gearing_1945.HullDefault.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PASD913_Gearing_1945.HullDefault.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PASD913_Gearing_1945.HullDefault.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PJSC014_Kitakami_1945.HullDefault.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PJSC014_Kitakami_1945.HullDefault.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PJSC014_Kitakami_1945.HullDefault.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PJSC014_Kitakami_1945.HullDefault.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PBSC101_Black_Swan.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PBSC101_Black_Swan.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PBSC101_Black_Swan.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PBSC101_Black_Swan.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PRSC506_Molotov_1943.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PRSC506_Molotov_1943.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PRSC506_Molotov_1943.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PRSC506_Molotov_1943.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PZSC101_Cheng_An.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PZSC101_Cheng_An.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PZSC101_Cheng_An.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PZSC101_Cheng_An.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PRSC102_Novik.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PRSC102_Novik.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PRSC102_Novik.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PRSC102_Novik.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PRSC102_Novik.B_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PRSC102_Novik.B_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PRSC102_Novik.B_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PRSC102_Novik.B_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PRSD103_Derzky.B_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PRSD103_Derzky.B_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PRSD103_Derzky.B_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PRSD103_Derzky.B_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PRSD103_Derzky.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PRSD103_Derzky.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PRSD103_Derzky.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PRSD103_Derzky.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PJSD010_Kagero_1943.A_Hull_1943.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PJSD010_Kagero_1943.A_Hull_1943.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PJSD010_Kagero_1943.A_Hull_1943.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PJSD010_Kagero_1943.A_Hull_1943.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PJSD010_Kagero_1943.B_Hull_1941.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PJSD010_Kagero_1943.B_Hull_1941.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PJSD010_Kagero_1943.B_Hull_1941.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PJSD010_Kagero_1943.B_Hull_1941.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PJSD010_Kagero_1943.C_Hull_1945.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PJSD010_Kagero_1943.C_Hull_1945.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PJSD010_Kagero_1943.C_Hull_1945.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PJSD010_Kagero_1943.C_Hull_1945.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PRPA037_180_AP_B_32_S.bulletSpeed changed in second object (was 800.0, is 920.0)
root.PASC707_Flint.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PASC707_Flint.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PASC707_Flint.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PASC707_Flint.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PRSD507_Leningrad_1944.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PRSD507_Leningrad_1944.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PRSD507_Leningrad_1944.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PRSD507_Leningrad_1944.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PGSD109_Z_46.B_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PGSD109_Z_46.B_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PGSD109_Z_46.B_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PGSD109_Z_46.B_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PGSD109_Z_46.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PGSD109_Z_46.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PGSD109_Z_46.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PGSD109_Z_46.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PJSC708_ARP_Takao.HullDefault.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PJSC708_ARP_Takao.HullDefault.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PJSC708_ARP_Takao.HullDefault.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PJSC708_ARP_Takao.HullDefault.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PGSC001_Hermelin_1940.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PGSC001_Hermelin_1940.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PGSC001_Hermelin_1940.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PGSC001_Hermelin_1940.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PBSC110_Minotaur.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PBSC110_Minotaur.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PBSC110_Minotaur.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PBSC110_Minotaur.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PJSD803_False_Isokaze_1917.B_Hull_1925.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PJSD803_False_Isokaze_1917.B_Hull_1925.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PJSD803_False_Isokaze_1917.B_Hull_1925.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PJSD803_False_Isokaze_1917.B_Hull_1925.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PJSD803_False_Isokaze_1917.A_Hull_1917.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PJSD803_False_Isokaze_1917.A_Hull_1917.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PJSD803_False_Isokaze_1917.A_Hull_1917.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PJSD803_False_Isokaze_1917.A_Hull_1917.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PRSD107_Pr_35_Udaloy.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PRSD107_Pr_35_Udaloy.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PRSD107_Pr_35_Udaloy.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PRSD107_Pr_35_Udaloy.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PRSD107_Pr_35_Udaloy.B_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PRSD107_Pr_35_Udaloy.B_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PRSD107_Pr_35_Udaloy.B_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PRSD107_Pr_35_Udaloy.B_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PRSD107_Pr_35_Udaloy.ShipAbilities.AbilitySlot2.abils[2][1] changed in second object (was US_DD, is SU_DD)
root.PRSD107_Pr_35_Udaloy.ShipAbilities.AbilitySlot2.abils[3][1] changed in second object (was US_DD_Gold, is SU_DD_Gold)
root.PRSC003_Murmansk_1944.Hull_A.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PRSC003_Murmansk_1944.Hull_A.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PRSC003_Murmansk_1944.Hull_A.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PRSC003_Murmansk_1944.Hull_A.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PGSC109_Roon.B_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PGSC109_Roon.B_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PGSC109_Roon.B_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PGSC109_Roon.B_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PGSC109_Roon.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PGSC109_Roon.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PGSC109_Roon.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PGSC109_Roon.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PRSD205_Podvoisky_pr_1929.AB1_Artillery.HP_RGM_2.shotDelay changed in second object (was 9.2, is 8.1)
root.PRSD205_Podvoisky_pr_1929.AB1_Artillery.HP_RGM_3.shotDelay changed in second object (was 9.2, is 8.1)
root.PRSD205_Podvoisky_pr_1929.AB1_Artillery.HP_RGM_1.shotDelay changed in second object (was 9.2, is 8.1)
root.PRSD205_Podvoisky_pr_1929.AB1_Artillery.HP_RGM_4.shotDelay changed in second object (was 9.2, is 8.1)
root.PRSD205_Podvoisky_pr_1929.AB1_Artillery.HP_RGM_5.shotDelay changed in second object (was 9.2, is 8.1)
root.PRSD205_Podvoisky_pr_1929.B_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PRSD205_Podvoisky_pr_1929.B_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PRSD205_Podvoisky_pr_1929.B_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PRSD205_Podvoisky_pr_1929.B_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PRSD205_Podvoisky_pr_1929.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PRSD205_Podvoisky_pr_1929.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PRSD205_Podvoisky_pr_1929.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PRSD205_Podvoisky_pr_1929.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PJSD007_Fubuki_1944.B_Hull_1944.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PJSD007_Fubuki_1944.B_Hull_1944.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PJSD007_Fubuki_1944.B_Hull_1944.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PJSD007_Fubuki_1944.B_Hull_1944.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PJSD007_Fubuki_1944.A_Hull_1944.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PJSD007_Fubuki_1944.A_Hull_1944.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PJSD007_Fubuki_1944.A_Hull_1944.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PJSD007_Fubuki_1944.A_Hull_1944.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PJSD007_Fubuki_1944.C_Hull_1943.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PJSD007_Fubuki_1944.C_Hull_1943.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PJSD007_Fubuki_1944.C_Hull_1943.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PJSD007_Fubuki_1944.C_Hull_1943.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PJSC707_Ashigara.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PJSC707_Ashigara.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PJSC707_Ashigara.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PJSC707_Ashigara.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PJSC707_Ashigara.B_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PJSC707_Ashigara.B_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PJSC707_Ashigara.B_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PJSC707_Ashigara.B_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PJSC707_Ashigara.C_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PJSC707_Ashigara.C_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PJSC707_Ashigara.C_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PJSC707_Ashigara.C_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PASD508_Kidd.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PASD508_Kidd.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PASD508_Kidd.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PASD508_Kidd.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PASD029_Sims_1941.HullDefault.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PASD029_Sims_1941.HullDefault.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PASD029_Sims_1941.HullDefault.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PASD029_Sims_1941.HullDefault.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PFSD506_Aigle.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PFSD506_Aigle.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PFSD506_Aigle.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PFSD506_Aigle.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PZSD106_Fu_Shun.B_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PZSD106_Fu_Shun.B_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PZSD106_Fu_Shun.B_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PZSD106_Fu_Shun.B_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PZSD106_Fu_Shun.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PZSD106_Fu_Shun.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PZSD106_Fu_Shun.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PZSD106_Fu_Shun.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PRGM064_180mm_57_MK_3.shotDelay changed in second object (was 15.0, is 13.5)
root.PCY014_SmokeGeneratorPremium.UK_Lvl_4_Gold.workTime changed in second object (was 7.0, is 15.0)
root.PCY014_SmokeGeneratorPremium.UK_Lvl_8_Gold.workTime changed in second object (was 7.0, is 15.0)
root.PCY014_SmokeGeneratorPremium.UK_Lvl_7_Gold.workTime changed in second object (was 7.0, is 15.0)
root.PCY014_SmokeGeneratorPremium.UK_Lvl_10_Gold.workTime changed in second object (was 7.0, is 15.0)
root.PCY014_SmokeGeneratorPremium.UK_Lvl_2_Gold.workTime changed in second object (was 7.0, is 15.0)
root.PCY014_SmokeGeneratorPremium.UK_Lvl_9_Gold.workTime changed in second object (was 7.0, is 15.0)
root.PCY014_SmokeGeneratorPremium.UK_Lvl_6_Gold.workTime changed in second object (was 7.0, is 15.0)
root.PCY014_SmokeGeneratorPremium.UK_Lvl_3_Gold.workTime changed in second object (was 7.0, is 15.0)
root.PCY014_SmokeGeneratorPremium.UK_Lvl_5_Gold.workTime changed in second object (was 7.0, is 15.0)
root.PJSC004_Yubari_1944.A_Hull_1944.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PJSC004_Yubari_1944.A_Hull_1944.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PJSC004_Yubari_1944.A_Hull_1944.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PJSC004_Yubari_1944.A_Hull_1944.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PJSD208_Kagero.A_Hull_1943.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PJSD208_Kagero.A_Hull_1943.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PJSD208_Kagero.A_Hull_1943.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PJSD208_Kagero.A_Hull_1943.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PJSD208_Kagero.B_Hull_1941.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PJSD208_Kagero.B_Hull_1941.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
