>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PAUD974_DB_MIDWAY.costCR changed in second object (was 980000, is 0)
root.PASB518_Massachusetts.A1_Artillery.HP_AGM_3.miscFilter[5] changed in second object (was MP_AM133_Boat_7_INDEX_2, is MP_AM133_Boat_7_INDEX_3)
root.PASB518_Massachusetts.A1_Artillery.HP_AGM_3.miscFilter[6] changed in second object (was MP_AM133_Boat_7_INDEX_3, is MP_AM133_Boat_7_INDEX_4)
root.PASB518_Massachusetts.A1_Artillery.HP_AGM_3.miscFilter[7] changed in second object (was MP_AM133_Boat_7_INDEX_4, is MP_AM762_Gun_Deck_dead)
root.PASB518_Massachusetts.A1_Artillery.HP_AGM_3.miscFilter[8] changed in second object (was MP_AM762_Gun_Deck_dead, is MP_AM646_Director_Mk51_INDEX_2)
root.PASB518_Massachusetts.A1_Artillery.HP_AGM_3.miscFilter[9] removed in second object
root.PAUB974_TB1_MIDWAY.costCR changed in second object (was 980000, is 0)
root.PCH148_BD2_PVE.enabled changed in second object (was True, is False)
root.PAUE974_ENG_MIDWAY.costXP changed in second object (was 1, is 0)
root.PIGM009_320mm44_barrels_2_M1934.idealRadius changed in second object (was 8, is 12.0)
root.PIGM009_320mm44_barrels_2_M1934.minRadius changed in second object (was 0.5, is 2.2)
root.PJUT976_TORP2_SHIM.costXP changed in second object (was 1, is 0)
root.PJUT976_TORP2_SHIM.costCR changed in second object (was 1, is 0)
root.PCH147_BD2_BISMARCK.enabled changed in second object (was True, is False)
root.PRUS974_SUO_MOSK.costXP changed in second object (was 1, is 0)
root.PRUS974_SUO_MOSK.costCR changed in second object (was 1, is 0)
root.PRSD910_Grozovoy_pr_40N.ShipUpgradeInfo.costXP changed in second object (was 225000, is 0)
root.PRSD910_Grozovoy_pr_40N.ShipUpgradeInfo.costCR changed in second object (was 18000000, is 0)
root.PCH138_BD2_JP.enabled changed in second object (was True, is False)
root.PAUH976_GEARING.costXP changed in second object (was 300, is 0)
root.PAUH976_GEARING.costCR changed in second object (was 31000, is 0)
root.PJUA975_ART1_SHIM.costXP changed in second object (was 1, is 0)
root.PCH141_BD2_ARP.enabled changed in second object (was True, is False)
root.PAUT974_TORP_GEARING.costXP changed in second object (was 1, is 0)
root.PAUT974_TORP_GEARING.costCR changed in second object (was 1, is 0)
root.PRUE974_ENG_MOSK.costXP changed in second object (was 1, is 0)
root.PCH133_BD2_CREDITS.enabled changed in second object (was True, is False)
root.PJUT975_TORP1_SHIM.costXP changed in second object (was 1, is 0)
root.PJUT975_TORP1_SHIM.costCR changed in second object (was 1, is 0)
root.PRUA974_ART_MOSK.costXP changed in second object (was 1, is 0)
root.PJUS975_SUO_SHIM.costXP changed in second object (was 1, is 0)
root.PJUS975_SUO_SHIM.costCR changed in second object (was 1, is 0)
root.PAUB975_TB2_MIDWAY.costCR changed in second object (was 980000, is 0)
root.PCH139_BD2_CAMPAIGNS.enabled changed in second object (was True, is False)
root.PCH135_BD2_CONTAINERS.enabled changed in second object (was True, is False)
root.PGUA976_ART_HIND.costXP changed in second object (was 1, is 0)
root.PCH142_BD2_NY2016.enabled changed in second object (was True, is False)
root.PAUS975_SUO_MONTANA.costXP changed in second object (was 1, is 0)
root.PAUS975_SUO_MONTANA.costCR changed in second object (was 1, is 0)
root.PASB917_Montana_1945.ShipUpgradeInfo.costXP changed in second object (was 247000, is 0)
root.PASB917_Montana_1945.ShipUpgradeInfo.costCR changed in second object (was 20800000, is 0)
root.PJSA917_Hakuryu_1942.ShipUpgradeInfo.costCR changed in second object (was 21800000, is 0)
root.PJSA917_Hakuryu_1942.ShipUpgradeInfo.costXP changed in second object (was 248000, is 0)
root.PIGM008_320mm44_barrels_3_M1934.idealRadius changed in second object (was 8, is 12.0)
root.PIGM008_320mm44_barrels_3_M1934.minRadius changed in second object (was 0.5, is 2.2)
root.PJUT977_TORP3_SHIM.costXP changed in second object (was 1, is 0)
root.PJUT977_TORP3_SHIM.costCR changed in second object (was 1, is 0)
root.PAUH975_MIDWAY.costXP changed in second object (was 300, is 0)
root.PAUH975_MIDWAY.costCR changed in second object (was 31000, is 0)
root.PAUD975_DB2_MIDWAY.costCR changed in second object (was 980000, is 0)
root.PRSC910_Pr_66_Moskva.ShipUpgradeInfo.costXP changed in second object (was 235000, is 0)
root.PRSC910_Pr_66_Moskva.ShipUpgradeInfo.costCR changed in second object (was 19500000, is 0)
root.PGSC910_Hindenburg.ShipUpgradeInfo.costXP changed in second object (was 238000, is 0)
root.PGSC910_Hindenburg.ShipUpgradeInfo.costCR changed in second object (was 19600000, is 0)
root.PBUA975_ART2_CONQUEROR.costXP changed in second object (was 1, is 0)
root.PJUB974_TB1_HAKU.costCR changed in second object (was 980000, is 0)
root.PJSC934_Zao_1944.ShipUpgradeInfo.costXP changed in second object (was 238000, is 0)
root.PJSC934_Zao_1944.ShipUpgradeInfo.costCR changed in second object (was 20000000, is 0)
root.PGUA975_ART2_GROSS.costXP changed in second object (was 1, is 0)
root.PAUS974_SUO_GEARING.costXP changed in second object (was 1, is 0)
root.PAUS974_SUO_GEARING.costCR changed in second object (was 1, is 0)
root.PRUS975_SUO_GROZ.costXP changed in second object (was 1, is 0)
root.PRUS975_SUO_GROZ.costCR changed in second object (was 1, is 0)
root.PBSB910_Conqueror.ShipUpgradeInfo.costXP changed in second object (was 255000, is 0)
root.PBSB910_Conqueror.ShipUpgradeInfo.costCR changed in second object (was 20600000, is 0)
root.PRUT975_TORP2_GROZ.costXP changed in second object (was 1, is 0)
root.PRUT975_TORP2_GROZ.costCR changed in second object (was 1, is 0)
root.PAUA974_ART_MONTANA.costXP changed in second object (was 1, is 0)
root.PRUT974_TORP1_GROZ.costXP changed in second object (was 1, is 0)
root.PRUT974_TORP1_GROZ.costCR changed in second object (was 1, is 0)
root.PGUA974_ART1_GROSS.costXP changed in second object (was 1, is 0)
root.PJSD912_Shimakaze_1943.ShipUpgradeInfo.costCR changed in second object (was 19300000, is 0)
root.PJSD912_Shimakaze_1943.ShipUpgradeInfo.costXP changed in second object (was 223000, is 0)
root.PCH143_BD2_CREW.enabled changed in second object (was True, is False)
root.PJUT974_TORP_ZAO.costXP changed in second object (was 1, is 0)
root.PJUT974_TORP_ZAO.costCR changed in second object (was 1, is 0)
root.PGUS975_SUO_HIND.costXP changed in second object (was 1, is 0)
root.PGUS975_SUO_HIND.costCR changed in second object (was 1, is 0)
root.PJUE974_ENG_HAKU.costXP changed in second object (was 1, is 0)
root.PRUA975_ART_GROZ.costXP changed in second object (was 1, is 0)
root.PJUA974_ART1_ZAO.costXP changed in second object (was 1, is 0)
root.PBUA974_ART1_CONQUEROR.costXP changed in second object (was 1, is 0)
root.PISB505_Giulio_Cesare.A1_Artillery.HP_IGM_1.idealRadius changed in second object (was 8, is 12.0)
root.PISB505_Giulio_Cesare.A1_Artillery.HP_IGM_1.minRadius changed in second object (was 0.5, is 2.2)
root.PISB505_Giulio_Cesare.A1_Artillery.HP_IGM_3.idealRadius changed in second object (was 8, is 12.0)
root.PISB505_Giulio_Cesare.A1_Artillery.HP_IGM_3.minRadius changed in second object (was 0.5, is 2.2)
root.PISB505_Giulio_Cesare.A1_Artillery.HP_IGM_2.idealRadius changed in second object (was 8, is 12.0)
root.PISB505_Giulio_Cesare.A1_Artillery.HP_IGM_2.minRadius changed in second object (was 0.5, is 2.2)
root.PISB505_Giulio_Cesare.A1_Artillery.HP_IGM_4.idealRadius changed in second object (was 8, is 12.0)
root.PISB505_Giulio_Cesare.A1_Artillery.HP_IGM_4.minRadius changed in second object (was 0.5, is 2.2)
root.PJUD974_DB1_HAKU.costCR changed in second object (was 980000, is 0)
root.PJUE975_ENG_ZAO.costXP changed in second object (was 1, is 0)
root.PJUE976_ENG_SHIM.costXP changed in second object (was 1, is 0)
root.PAUI975_F2_MIDWAY.costCR changed in second object (was 1400000, is 0)
root.PBSB109_Lion.A_Hull.armor.196698 removed in first object
root.PBSB109_Lion.A_Hull.armor.196697 removed in first object
root.PBSB109_Lion.B_Hull.armor.196698 removed in first object
root.PBSB109_Lion.B_Hull.armor.196697 removed in first object
root.PASA915_Midway_1945.ShipUpgradeInfo.costCR changed in second object (was 21000000, is 0)
root.PASA915_Midway_1945.ShipUpgradeInfo.costXP changed in second object (was 254000, is 0)
root.PAUA975_ART_GEARING.costXP changed in second object (was 1, is 0)
root.PJSB508_Kii.group changed in second object (was demoWithoutStats, is special)
root.PJSB508_Kii.groupCustom.CN removed in second object
root.PAUE975_ENG_MONTANA.costXP changed in second object (was 1, is 0)
>> finished comparing
