>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PBPA009_152MM_AP_100LBS.bulletDetonator changed in second object (was 0.025, is 0.005)
root.PJSB013_Amagi_1942.B_Hull_1941.maxRepairCost changed in second object (was 92000, is 0)
root.PJSB013_Amagi_1942.A_Hull_1926.fuelFee changed in second object (was 20000, is 75000)
root.PJSB013_Amagi_1942.A_Hull_1926.armor.65584 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.A_Hull_1926.armor.65585 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.A_Hull_1926.armor.65630 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.A_Hull_1926.armor.65629 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.A_Hull_1926.maxRepairCost changed in second object (was 92000, is 0)
root.PJSB013_Amagi_1942.C_Hull_1944.fuelFee changed in second object (was 20000, is 75000)
root.PJSB013_Amagi_1942.C_Hull_1944.armor.65584 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.C_Hull_1944.armor.65585 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.C_Hull_1944.armor.65629 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.C_Hull_1944.armor.65630 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.C_Hull_1944.maxRepairCost changed in second object (was 92000, is 0)
root.PASD021_Fletcher_1943.A_Hull.fuelFee changed in second object (was 21000, is 120000)
root.PASD021_Fletcher_1943.A_Hull.armor.131128 changed in second object (was 12.0, is 19.0)
root.PASD021_Fletcher_1943.A_Hull.armor.65584 changed in second object (was 12.0, is 19.0)
root.PASD021_Fletcher_1943.A_Hull.armor.65585 changed in second object (was 12.0, is 13.0)
root.PASD021_Fletcher_1943.A_Hull.armor.65625 changed in second object (was 12.0, is 13.0)
root.PASD021_Fletcher_1943.A_Hull.armor.65626 changed in second object (was 12.0, is 13.0)
root.PASD021_Fletcher_1943.A_Hull.armor.65629 changed in second object (was 12.0, is 19.0)
root.PASD021_Fletcher_1943.A_Hull.armor.65630 changed in second object (was 12.0, is 13.0)
root.PASD021_Fletcher_1943.A_Hull.maxRepairCost changed in second object (was 130000, is 0)
root.PASD021_Fletcher_1943.ShipModernization.ModernizationSlot6.mods[2] removed in first object
root.PASD021_Fletcher_1943.B_Hull.fuelFee changed in second object (was 21000, is 120000)
root.PASD021_Fletcher_1943.B_Hull.armor.65584 changed in second object (was 12.0, is 19.0)
root.PASD021_Fletcher_1943.B_Hull.armor.65585 changed in second object (was 12.0, is 13.0)
root.PASD021_Fletcher_1943.B_Hull.armor.65625 changed in second object (was 12.0, is 13.0)
root.PASD021_Fletcher_1943.B_Hull.armor.65626 changed in second object (was 12.0, is 13.0)
root.PASD021_Fletcher_1943.B_Hull.armor.65629 changed in second object (was 12.0, is 19.0)
root.PASD021_Fletcher_1943.B_Hull.armor.65630 changed in second object (was 12.0, is 13.0)
root.PASD021_Fletcher_1943.B_Hull.maxRepairCost changed in second object (was 130000, is 0)
root.PJSA015_Taiho_1944.A_Hull_1944.fuelFee changed in second object (was 65000, is 120000)
root.PJSA015_Taiho_1944.A_Hull_1944.armor.65625 changed in second object (was 12.0, is 13.0)
root.PJSA015_Taiho_1944.A_Hull_1944.armor.65626 changed in second object (was 12.0, is 13.0)
root.PJSA015_Taiho_1944.A_Hull_1944.maxRepairCost changed in second object (was 120000, is 0)
root.PJSA015_Taiho_1944.B_Hull_1945.fuelFee changed in second object (was 65000, is 120000)
root.PJSA015_Taiho_1944.B_Hull_1945.armor.65625 changed in second object (was 12.0, is 13.0)
root.PJSA015_Taiho_1944.B_Hull_1945.armor.65626 changed in second object (was 12.0, is 13.0)
root.PJSA015_Taiho_1944.B_Hull_1945.maxRepairCost changed in second object (was 120000, is 0)
root.PJAF004_J7W1_A.costCR changed in second object (was 1200, is 600)
root.PJSC038_Atago_1944.HullDefault.maxRepairCost changed in second object (was 59500, is 0)
root.PJSC038_Atago_1944.HullDefault.fuelFee changed in second object (was 10500, is 52500)
root.PJAB002_Nakajima_B6N.costCR changed in second object (was 800, is 450)
root.PASD502_Smith.A_Hull.fuelFee changed in second object (was 0, is 2000)
root.PASD502_Smith.A_Hull.maxRepairCost changed in second object (was 2500, is 0)
root.PASD502_Smith.groupCustom.RU removed in first object
root.PASD013_Gearing_1945.ShipModernization.ModernizationSlot6.mods[2] removed in first object
root.PASD013_Gearing_1945.HullDefault.fuelFee changed in second object (was 30000, is 180000)
root.PASD013_Gearing_1945.HullDefault.armor.65629 changed in second object (was 12.0, is 19.0)
root.PASD013_Gearing_1945.HullDefault.armor.65584 changed in second object (was 12.0, is 19.0)
root.PASD013_Gearing_1945.HullDefault.armor.131128 changed in second object (was 12.0, is 19.0)
root.PASD013_Gearing_1945.HullDefault.armor.65626 changed in second object (was 12.0, is 13.0)
root.PASD013_Gearing_1945.HullDefault.armor.65625 changed in second object (was 12.0, is 13.0)
root.PASD013_Gearing_1945.HullDefault.maxRepairCost changed in second object (was 190000, is 0)
root.PAPA011_Shell_406mm_AP_AP_Mk_8.costCR changed in second object (was 250, is 150)
root.PJSB018_Yamato_1944.HullDefault.fuelFee changed in second object (was 46000, is 180000)
root.PJSB018_Yamato_1944.HullDefault.armor.65584 changed in second object (was 28.0, is 32.0)
root.PJSB018_Yamato_1944.HullDefault.armor.131121 changed in second object (was 28.0, is 32.0)
root.PJSB018_Yamato_1944.HullDefault.armor.65629 changed in second object (was 28.0, is 32.0)
root.PJSB018_Yamato_1944.HullDefault.armor.131166 changed in second object (was 28.0, is 32.0)
root.PJSB018_Yamato_1944.HullDefault.maxRepairCost changed in second object (was 225000, is 0)
root.PAAB053_Douglas_XSB2D.costCR changed in second object (was 1700, is 800)
root.PASB004_Arkansas_1912.B_Hull_1942.fuelFee changed in second object (was 0, is 5000)
root.PASB004_Arkansas_1912.B_Hull_1942.maxRepairCost changed in second object (was 7000, is 0)
root.PASB004_Arkansas_1912.A_Hull_1919.fuelFee changed in second object (was 0, is 5000)
root.PASB004_Arkansas_1912.A_Hull_1919.maxRepairCost changed in second object (was 7000, is 0)
root.PAAD011_Kaiser_Fleetwings_XBTK.costCR changed in second object (was 1700, is 800)
root.PAAB001_Douglas_TBD.costCR changed in second object (was 320, is 300)
root.PJAF008_Mitsubishi_A8M.costCR changed in second object (was 1700, is 800)
