>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PRGM113_149mm60_DrhTr_SK_C25.smokePenalty changed in second object (was 0.0001, is 0.6)
root.PRSD105_Pr_7_Gnevny.A1_Artillery.HP_RGM_4.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PRSD105_Pr_7_Gnevny.B1_Artillery.HP_RGM_2.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PRSD105_Pr_7_Gnevny.B1_Artillery.HP_RGM_3.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PRSD105_Pr_7_Gnevny.B1_Artillery.HP_RGM_1.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PRSD105_Pr_7_Gnevny.B1_Artillery.HP_RGM_4.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PRGM099_130mm_55.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PRGM063_152mm_57_MK_5.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PBSC102_Weymouth.AB1_Artillery.HP_BGM_2.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PBSC102_Weymouth.AB1_Artillery.HP_BGM_3.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PBSC102_Weymouth.AB1_Artillery.HP_BGM_1.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PBSC102_Weymouth.AB1_Artillery.HP_BGM_6.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PBSC102_Weymouth.AB1_Artillery.HP_BGM_7.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PBSC102_Weymouth.AB1_Artillery.HP_BGM_4.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PBSC102_Weymouth.AB1_Artillery.HP_BGM_5.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PBSC102_Weymouth.AB1_Artillery.HP_BGM_8.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PJGM049_356mm45_Type41.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PGGM039_406mm_C34.smokePenalty changed in second object (was 0.0001, is 12.18)
root.PRGM017_6in53_Mk13_Single.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PAGM156_16in45_Mk1.smokePenalty changed in second object (was 0.0001, is 8.12)
root.PIGM002_152mm53.smokePenalty changed in second object (was 0.0001, is 0.42)
root.PBGM059_16_5in_45_MkII_Rounded.smokePenalty changed in second object (was 0.0001, is 13.41)
root.PFGM038_139_55_Mle_1921_Twin.smokePenalty changed in second object (was 0.0001, is 0.32)
root.PJSB705_Kongou.B1_356_45.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJSB705_Kongou.B1_356_45.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJSB705_Kongou.B1_356_45.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJSB705_Kongou.B1_356_45.HP_JGM_4.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJSB705_Kongou.C1_356_45.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJSB705_Kongou.C1_356_45.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJSB705_Kongou.C1_356_45.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJSB705_Kongou.C1_356_45.HP_JGM_4.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PRGM085_152mm_Mk_5_1.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PJGM145_200mm50_Type_E.smokePenalty changed in second object (was 0.0001, is 0.98)
root.PFSB506_Dunkerque_1940.A1_Artillery.HP_FGM_1.smokePenalty changed in second object (was 0.0001, is 8.72)
root.PFSB506_Dunkerque_1940.A1_Artillery.HP_FGM_2.smokePenalty changed in second object (was 0.0001, is 8.72)
root.PAGM031_6in53_Mk16_Twin.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PJGM129_12in45_MkX.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PCGM002_105mm_LeFH_18.smokePenalty changed in second object (was 0.0001, is 1.0)
root.PRGM015_6in53_Mk16_Twin.smokePenalty changed in second object (was 0.0001, is 0.42)
root.PJSB013_Amagi_1942.AB1_410_45.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 8.38)
root.PJSB013_Amagi_1942.AB1_410_45.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 8.38)
root.PJSB013_Amagi_1942.AB1_410_45.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 8.38)
root.PJSB013_Amagi_1942.AB1_410_45.HP_JGM_4.smokePenalty changed in second object (was 0.0001, is 8.38)
root.PJSB013_Amagi_1942.AB1_410_45.HP_JGM_5.smokePenalty changed in second object (was 0.0001, is 8.38)
root.PFGM017_155_50_Mle_1921_Twin.smokePenalty changed in second object (was 0.0001, is 0.42)
root.PAGM092_5in38_Mk38_Mod0.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PJSD002_Umikaze_1925.A1_120_40.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PJSD002_Umikaze_1925.A1_120_40.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PJSD002_Umikaze_1925.B1_120_40.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PJSD002_Umikaze_1925.B1_120_40.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PJSD002_Umikaze_1925.B1_120_40.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PAGM077_6in47_MK16.smokePenalty changed in second object (was 0.0001, is 0.42)
root.PJGM099_410mm45.smokePenalty changed in second object (was 0.0001, is 12.57)
root.PAGM093_4in50_Mk12.smokePenalty changed in second object (was 0.0001, is 0.06)
root.PGGM066_203mm_C34_RF.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PJSC709_Haguro.ArtilleryDefault.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PJSC709_Haguro.ArtilleryDefault.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PJSC709_Haguro.ArtilleryDefault.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PJSC709_Haguro.ArtilleryDefault.HP_JGM_4.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PJSC709_Haguro.ArtilleryDefault.HP_JGM_5.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PJSD706_Shinonome.A1_Artillery.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PJSD706_Shinonome.A1_Artillery.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PJSD706_Shinonome.A1_Artillery.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PAGM019_8in55_CA68.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PBSC109_Neptune.AB1_Artillery.HP_BGM_2.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PBSC109_Neptune.AB1_Artillery.HP_BGM_3.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PBSC109_Neptune.AB1_Artillery.HP_BGM_1.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PBSC109_Neptune.AB1_Artillery.HP_BGM_4.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PGGM094_280mm54_5_C34_Shee.smokePenalty changed in second object (was 0.0001, is 4.14)
root.PRGM067_220mm_SM6.smokePenalty changed in second object (was 0.0001, is 1.95)
root.PFGM011_152_55_Mle_1930_RF.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PJSC503_Katori.A1_Artillery.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 0.34)
root.PJSC503_Katori.A1_Artillery.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 0.34)
root.PAGM052_12in45_Mk5.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PJSC035_Chikuma_1912.B1_152_45.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PJSC035_Chikuma_1912.B1_152_45.HP_JGM_8.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PJSC035_Chikuma_1912.B1_152_45.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PJSC035_Chikuma_1912.B1_152_45.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PJSC035_Chikuma_1912.B1_152_45.HP_JGM_6.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PJSC035_Chikuma_1912.B1_152_45.HP_JGM_7.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PJSC035_Chikuma_1912.B1_152_45.HP_JGM_4.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PJSC035_Chikuma_1912.B1_152_45.HP_JGM_5.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PJSC035_Chikuma_1912.A1_152_45.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PJSC035_Chikuma_1912.A1_152_45.HP_JGM_8.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PJSC035_Chikuma_1912.A1_152_45.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PJSC035_Chikuma_1912.A1_152_45.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PRGM040_6in45_Cane.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASB801_False_Michigan_1916.ArtilleryDefault.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PASB801_False_Michigan_1916.ArtilleryDefault.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PASB801_False_Michigan_1916.ArtilleryDefault.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PASB801_False_Michigan_1916.ArtilleryDefault.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PASB034_New_Mexico_1941.A1_Artillery.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 8.22)
root.PASB034_New_Mexico_1941.A1_Artillery.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 8.22)
root.PASB034_New_Mexico_1941.A1_Artillery.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 8.22)
root.PASB034_New_Mexico_1941.A1_Artillery.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 8.22)
root.PASB034_New_Mexico_1941.B1_Artillery.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 8.22)
root.PASB034_New_Mexico_1941.B1_Artillery.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 8.22)
root.PASB034_New_Mexico_1941.B1_Artillery.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 8.22)
root.PASB034_New_Mexico_1941.B1_Artillery.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 8.22)
root.PAGM082_3in50_Mk5.smokePenalty changed in second object (was 0.0001, is 0.03)
root.PGGM016_203mm_SK_L56.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PFSC110_Henri_IV.A1_Artillery.HP_FGM_3.smokePenalty changed in second object (was 0.0001, is 2.52)
root.PFSC110_Henri_IV.A1_Artillery.HP_FGM_1.smokePenalty changed in second object (was 0.0001, is 2.52)
root.PFSC110_Henri_IV.A1_Artillery.HP_FGM_2.smokePenalty changed in second object (was 0.0001, is 2.52)
root.PJSC015_Tatsuta_1919.ArtilleryDefault.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 0.17)
root.PJSC015_Tatsuta_1919.ArtilleryDefault.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 0.17)
root.PJSC015_Tatsuta_1919.ArtilleryDefault.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 0.17)
root.PJSC015_Tatsuta_1919.ArtilleryDefault.HP_JGM_4.smokePenalty changed in second object (was 0.0001, is 0.17)
root.PGGM083_127mm_45_SK_C41.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PRSC108_Pr_68_Chapaev.A1_Artillery.HP_RGM_2.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PRSC108_Pr_68_Chapaev.A1_Artillery.HP_RGM_3.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PRSC108_Pr_68_Chapaev.A1_Artillery.HP_RGM_1.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PRSC108_Pr_68_Chapaev.A1_Artillery.HP_RGM_4.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PRSC108_Pr_68_Chapaev.B1_Artillery.HP_RGM_2.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PRSC108_Pr_68_Chapaev.B1_Artillery.HP_RGM_3.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PRSC108_Pr_68_Chapaev.B1_Artillery.HP_RGM_1.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PRSC108_Pr_68_Chapaev.B1_Artillery.HP_RGM_4.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PGSD104_V_170.AB1_Artillery.HP_GGM_3.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSD104_V_170.AB1_Artillery.HP_GGM_4.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSD104_V_170.AB1_Artillery.HP_GGM_2.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSD104_V_170.AB1_Artillery.HP_GGM_1.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PJGM902_120mm40.smokePenalty changed in second object (was 0.0001, is 1.0)
root.PJGM101_410mm50.smokePenalty changed in second object (was 0.0001, is 12.57)
root.PBSB517_Nelson.A1_Artillery.HP_BGM_2.smokePenalty changed in second object (was 0.0001, is 12.18)
root.PBSB517_Nelson.A1_Artillery.HP_BGM_3.smokePenalty changed in second object (was 0.0001, is 12.18)
root.PBSB517_Nelson.A1_Artillery.HP_BGM_1.smokePenalty changed in second object (was 0.0001, is 12.18)
root.PBSB517_Nelson.ShipUpgradeInfo.costGold changed in second object (was 99999, is 9650)
root.PFGM046_152_55_Mle_1936.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PGSC106_Nurnberg.AB1_Artillery.HP_GGM_3.smokePenalty changed in second object (was 0.0001, is 0.6)
root.PGSC106_Nurnberg.AB1_Artillery.HP_GGM_2.smokePenalty changed in second object (was 0.0001, is 0.6)
root.PGSC106_Nurnberg.AB1_Artillery.HP_GGM_1.smokePenalty changed in second object (was 0.0001, is 0.6)
root.PGSC106_Nurnberg.C1_Artillery.HP_GGM_3.smokePenalty changed in second object (was 0.0001, is 0.6)
root.PGSC106_Nurnberg.C1_Artillery.HP_GGM_2.smokePenalty changed in second object (was 0.0001, is 0.6)
root.PGSC106_Nurnberg.C1_Artillery.HP_GGM_1.smokePenalty changed in second object (was 0.0001, is 0.6)
root.PCGM352_350mm_BASIC_2_barrel.smokePenalty changed in second object (was 0.0001, is 1.0)
root.PJSB011_Mikasa_1905.ArtilleryDefault.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PJSB011_Mikasa_1905.ArtilleryDefault.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PBGM502_15in42_MK2_B_Nolan.smokePenalty changed in second object (was 0.0001, is 1.0)
root.PCGM005_Bison_1.smokePenalty changed in second object (was 0.0001, is 1.0)
root.PASD006_Mahan_1936.C_Artillery.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASD006_Mahan_1936.C_Artillery.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASD006_Mahan_1936.C_Artillery.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASD006_Mahan_1936.C_Artillery.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASD006_Mahan_1936.AB_Artillery.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASD006_Mahan_1936.AB_Artillery.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASD006_Mahan_1936.AB_Artillery.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASD006_Mahan_1936.AB_Artillery.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASD006_Mahan_1936.AB_Artillery.HP_AGM_5.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PCGM302_300mm_BASIC_2_barrel.smokePenalty changed in second object (was 0.0001, is 1.0)
root.PJSC717_Yellow_Dragon.ArtilleryDefault.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PJSC717_Yellow_Dragon.ArtilleryDefault.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PJSC717_Yellow_Dragon.ArtilleryDefault.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PJSC717_Yellow_Dragon.ArtilleryDefault.HP_JGM_4.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PJSC717_Yellow_Dragon.ArtilleryDefault.HP_JGM_5.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PJGM032_140mm50_Type_3.smokePenalty changed in second object (was 0.0001, is 0.34)
root.PAGM159_6in53_Mk13_Single.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PAGM121_5in51_Mk_7_mod2.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PJGM029_155mm50_Type_91.smokePenalty changed in second object (was 0.0001, is 0.69)
root.PASC005_Omaha_1923.B2_152_53.HP_AGM_10.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PASC005_Omaha_1923.B2_152_53.HP_AGM_9.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.B2_152_53.HP_AGM_8.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.B2_152_53.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PASC005_Omaha_1923.B2_152_53.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.B2_152_53.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.B2_152_53.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.B2_152_53.HP_AGM_7.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.B2_152_53.HP_AGM_6.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.B2_152_53.HP_AGM_5.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.B1_152_53.HP_AGM_10.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PASC005_Omaha_1923.B1_152_53.HP_AGM_9.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.B1_152_53.HP_AGM_8.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.B1_152_53.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PASC005_Omaha_1923.B1_152_53.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.B1_152_53.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.B1_152_53.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.B1_152_53.HP_AGM_7.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.B1_152_53.HP_AGM_6.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.B1_152_53.HP_AGM_5.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.A1_152_53.HP_AGM_10.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PASC005_Omaha_1923.A1_152_53.HP_AGM_9.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.A1_152_53.HP_AGM_8.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.A1_152_53.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PASC005_Omaha_1923.A1_152_53.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.A1_152_53.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.A1_152_53.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.A1_152_53.HP_AGM_7.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.A1_152_53.HP_AGM_6.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.A1_152_53.HP_AGM_5.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.C1_152_53.HP_AGM_8.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PASC005_Omaha_1923.C1_152_53.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PASC005_Omaha_1923.C1_152_53.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.C1_152_53.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.C1_152_53.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.C1_152_53.HP_AGM_7.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.C1_152_53.HP_AGM_6.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.C1_152_53.HP_AGM_5.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.C2_152_53.HP_AGM_8.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PASC005_Omaha_1923.C2_152_53.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PASC005_Omaha_1923.C2_152_53.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.C2_152_53.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.C2_152_53.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.C2_152_53.HP_AGM_7.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.C2_152_53.HP_AGM_6.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC005_Omaha_1923.C2_152_53.HP_AGM_5.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PJSB707_Haruna.B1_356_45.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJSB707_Haruna.B1_356_45.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJSB707_Haruna.B1_356_45.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJSB707_Haruna.B1_356_45.HP_JGM_4.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJSB707_Haruna.C1_356_45.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJSB707_Haruna.C1_356_45.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJSB707_Haruna.C1_356_45.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJSB707_Haruna.C1_356_45.HP_JGM_4.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJGM571_203mm50_Type_E_Arpeggio.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PRGM097_152mm_45_casemate_L.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PAGM150_5in38_Mk24_Mod6.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PAGM118_5in51_Mk_7_mod2.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PFSC506_De_Grasse.A1_Artillery.HP_FGM_3.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PFSC506_De_Grasse.A1_Artillery.HP_FGM_1.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PFSC506_De_Grasse.A1_Artillery.HP_FGM_2.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PRGM501_130mm_B2LM.smokePenalty changed in second object (was 0.0001, is 0.26)
root.PRGM104_12in52_mod_3.smokePenalty changed in second object (was 0.0001, is 5.16)
root.PRGM102_12in52_mod_1.smokePenalty changed in second object (was 0.0001, is 5.16)
root.PASB008_Colorado_1945.A1_Artillery.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 8.12)
root.PASB008_Colorado_1945.A1_Artillery.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 8.12)
root.PASB008_Colorado_1945.A1_Artillery.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 8.12)
root.PASB008_Colorado_1945.A1_Artillery.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 8.12)
root.PASB008_Colorado_1945.B1_Artillery.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 8.12)
root.PASB008_Colorado_1945.B1_Artillery.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 8.12)
root.PASB008_Colorado_1945.B1_Artillery.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 8.12)
root.PASB008_Colorado_1945.B1_Artillery.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 8.12)
root.PJGM901_120mm40_Type89_B.smokePenalty changed in second object (was 0.0001, is 1.0)
root.PJSD207_Shiratsuyu.AB1_Artillery.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PJSD207_Shiratsuyu.AB1_Artillery.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PJSD207_Shiratsuyu.AB1_Artillery.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 0.24)
