>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PXW001_DefaultCrew.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PXW103_Mr_Hide.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PXW103_Mr_Hide.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PXW103_Mr_Hide.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PXW103_Mr_Hide.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PXW103_Mr_Hide.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PUW001_DefaultCrew.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PUW001_DefaultCrew.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PUW001_DefaultCrew.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PUW001_DefaultCrew.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PUW001_DefaultCrew.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PUW001_DefaultCrew.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PUW001_DefaultCrew.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PUW001_DefaultCrew.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PUW001_DefaultCrew.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PUW001_DefaultCrew.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PBW001_DefaultCrew.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PBW001_DefaultCrew.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PBW001_DefaultCrew.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PBW001_DefaultCrew.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PBW001_DefaultCrew.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PBW001_DefaultCrew.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PBW001_DefaultCrew.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PBW001_DefaultCrew.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PBW001_DefaultCrew.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PBW001_DefaultCrew.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PJW008_Myoko.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PJW008_Myoko.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PJW008_Myoko.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PJW008_Myoko.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PJW008_Myoko.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PJW008_Myoko.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PJW008_Myoko.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PJW008_Myoko.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PJW008_Myoko.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PJW008_Myoko.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PJW016_Gunzou.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PJW016_Gunzou.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PJW016_Gunzou.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PJW016_Gunzou.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PJW016_Gunzou.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PJW016_Gunzou.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PJW016_Gunzou.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PJW016_Gunzou.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PJW016_Gunzou.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PJW016_Gunzou.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PJW006_Kirishima.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PJW006_Kirishima.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PJW006_Kirishima.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PJW006_Kirishima.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PJW006_Kirishima.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PJW006_Kirishima.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PJW006_Kirishima.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PJW006_Kirishima.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PJW006_Kirishima.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PJW006_Kirishima.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PAW101_Seagal.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PAW101_Seagal.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PAW101_Seagal.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PAW101_Seagal.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PAW101_Seagal.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PAW101_Seagal.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PAW101_Seagal.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PAW101_Seagal.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PAW101_Seagal.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PAW101_Seagal.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PGSD109_Z_46.groupCustom.PT removed in second object
root.PJW005_Kongou.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PJW005_Kongou.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PJW005_Kongou.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PJW005_Kongou.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PJW005_Kongou.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PJW005_Kongou.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PJW005_Kongou.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PJW005_Kongou.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PJW005_Kongou.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PJW005_Kongou.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PGW001_DefaultCrew.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PGW001_DefaultCrew.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PGW001_DefaultCrew.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PGW001_DefaultCrew.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PGW001_DefaultCrew.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PGW001_DefaultCrew.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PGW001_DefaultCrew.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PGW001_DefaultCrew.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PGW001_DefaultCrew.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PGW001_DefaultCrew.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PGSD108_Z_23.groupCustom.PT removed in second object
root.PCW001_CrewCommon.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PCW001_CrewCommon.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PCW001_CrewCommon.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PCW001_CrewCommon.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PCW001_CrewCommon.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PCW001_CrewCommon.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PCW001_CrewCommon.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PCW001_CrewCommon.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PCW001_CrewCommon.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PCW001_CrewCommon.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PJW007_Haruna.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PJW007_Haruna.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PJW007_Haruna.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PJW007_Haruna.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PJW007_Haruna.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PJW007_Haruna.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PJW007_Haruna.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PJW007_Haruna.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PJW007_Haruna.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PJW007_Haruna.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PJW101_Eastern_dragon_king.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PJW101_Eastern_dragon_king.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PJW101_Eastern_dragon_king.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PJW101_Eastern_dragon_king.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PJW101_Eastern_dragon_king.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PJW101_Eastern_dragon_king.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PJW101_Eastern_dragon_king.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PJW101_Eastern_dragon_king.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PJW101_Eastern_dragon_king.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PJW101_Eastern_dragon_king.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PWW001_DefaultCrew.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PWW001_DefaultCrew.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PWW001_DefaultCrew.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PWW001_DefaultCrew.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PWW001_DefaultCrew.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PWW001_DefaultCrew.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PWW001_DefaultCrew.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PWW001_DefaultCrew.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PWW001_DefaultCrew.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PWW001_DefaultCrew.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PJW015_Takao.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PJW015_Takao.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PJW015_Takao.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PJW015_Takao.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PJW015_Takao.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PJW015_Takao.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PJW015_Takao.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PJW015_Takao.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PJW015_Takao.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PJW015_Takao.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PJW102_Southern_dragon_king.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PJW102_Southern_dragon_king.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PJW102_Southern_dragon_king.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PJW102_Southern_dragon_king.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PJW102_Southern_dragon_king.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PJW102_Southern_dragon_king.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PJW102_Southern_dragon_king.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PJW102_Southern_dragon_king.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PJW102_Southern_dragon_king.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PJW102_Southern_dragon_king.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PXW102_Dr_Frankenship.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PXW102_Dr_Frankenship.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PXW102_Dr_Frankenship.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PXW102_Dr_Frankenship.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PXW102_Dr_Frankenship.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PXW102_Dr_Frankenship.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PXW102_Dr_Frankenship.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PXW102_Dr_Frankenship.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PXW102_Dr_Frankenship.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PXW102_Dr_Frankenship.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PFW001_DefaultCrew.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PFW001_DefaultCrew.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PFW001_DefaultCrew.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PFW001_DefaultCrew.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PFW001_DefaultCrew.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PFW001_DefaultCrew.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PFW001_DefaultCrew.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PFW001_DefaultCrew.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PFW001_DefaultCrew.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PFW001_DefaultCrew.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PJW010_Hiei.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PJW010_Hiei.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PJW010_Hiei.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PJW010_Hiei.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PJW010_Hiei.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PJW010_Hiei.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PJW010_Hiei.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PJW010_Hiei.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PJW010_Hiei.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PJW010_Hiei.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PJW013_Kirishima_Bear.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PJW013_Kirishima_Bear.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PJW013_Kirishima_Bear.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PJW013_Kirishima_Bear.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PJW013_Kirishima_Bear.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PJW013_Kirishima_Bear.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PJW013_Kirishima_Bear.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PJW013_Kirishima_Bear.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PJW013_Kirishima_Bear.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PJW013_Kirishima_Bear.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PJPA064_100MM_HE_C_TYPE_98_MG.alphaPiercingHE changed in second object (was 19.0, is 17.0)
root.PJW009_Unknown.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PJW009_Unknown.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PJW009_Unknown.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PJW009_Unknown.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PJW009_Unknown.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
