>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PCH079_F_500Leagues.enabled changed in second object (was True, is False)
root.PCY004_Fighter.PAY530_TA152C_Battleship_6.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY522_F3F_float_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY522_F3F_float_Battleship_7.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY522_F3F_float_Battleship_6.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY522_F3F_float_Battleship_5.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY522_F3F_float_Battleship_4.workTime changed in second object (was 60.0, is 90.0)
root.PASB708_Alabama.group changed in second object (was demoWithoutStats, is demoWithStats)
root.PASB708_Alabama.groupCustom.EU removed in first object
root.PASB708_Alabama.groupCustom.NA removed in first object
root.PASB708_Alabama.groupCustom.CN removed in first object
root.PASB708_Alabama.groupCustom.ASIA removed in first object
root.PASB708_Alabama.groupCustom.RU removed in first object
root.PCEC020_Camo_New_Year_17.canBuy changed in second object (was True, is False)
root.PCEC020_Camo_New_Year_17.hidden changed in second object (was False, is True)
root.PCH077_F_Safecracker.enabled changed in second object (was True, is False)
root.PCEE068_Community_Contest removed in first object
root.PCEE067_Supremacy_League_Participant removed in first object
root.PCEE066_Supremacy_League_Winner removed in first object
root.PCEE069_Fire_Rooster removed in first object
root.PCEE070_Chinese_New_Year removed in first object
root.PCEE071_Korean_Turtle removed in first object
>> finished comparing
