>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PJSB007_Kongo_1942.B_Hull_1941.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PASA002_Bogue_1942.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASA002_Bogue_1942.B_Hull.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PASA002_Bogue_1942.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASC002_Chester_1908.A_Hull_1908.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASC002_Chester_1908.B_Hull_1917.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PBSC109_Neptune.A_Hull.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PBSC109_Neptune.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PBSC109_Neptune.ShipModernization.ModernizationSlot6.mods[3] removed in first object
root.PBSC109_Neptune.B_Hull.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PBSC109_Neptune.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC035_Chikuma_1912.A_Hull_1912.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC035_Chikuma_1912.B_Hull_1918.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASB801_False_Michigan_1916.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASB034_New_Mexico_1941.ABC1_Engine.backwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB034_New_Mexico_1941.ABC1_Engine.forwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB034_New_Mexico_1941.ABC2_Engine.backwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB034_New_Mexico_1941.ABC2_Engine.forwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB034_New_Mexico_1941.B_Hull_1936.floodParams[1] changed in second object (was 0.533, is 0.667)
root.PASB034_New_Mexico_1941.B_Hull_1936.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASB034_New_Mexico_1941.C_Hull_1941.floodParams[1] changed in second object (was 0.533, is 0.667)
root.PASB034_New_Mexico_1941.C_Hull_1941.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASB034_New_Mexico_1941.A_Hull_1918.floodParams[1] changed in second object (was 0.533, is 0.667)
root.PASB034_New_Mexico_1941.A_Hull_1918.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC015_Tatsuta_1919.A_Hull_1919.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC015_Tatsuta_1919.B_Hull_1937.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSC108_Pr_68_Chapaev.A_Hull.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PRSC108_Pr_68_Chapaev.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSC108_Pr_68_Chapaev.B_Hull.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PRSC108_Pr_68_Chapaev.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSD104_V_170.A_Hull.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PGSD104_V_170.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSD104_V_170.B_Hull.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PGSD104_V_170.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASA015_Midway_1945.HullDefault.floodParams[1] changed in second object (was 0.433, is 0.667)
root.PASA015_Midway_1945.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSC106_Nurnberg.A_Hull.floodParams[1] changed in second object (was 0.533, is 0.667)
root.PGSC106_Nurnberg.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSC106_Nurnberg.B_Hull.floodParams[1] changed in second object (was 0.533, is 0.667)
root.PGSC106_Nurnberg.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSC106_Nurnberg.C_Hull.floodParams[1] changed in second object (was 0.533, is 0.667)
root.PGSC106_Nurnberg.C_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSB011_Mikasa_1905.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PCM042_RLSSearch_Mod_I.rlsSearchWorkTime changed in second object (was 1.2, is 1.4)
root.PASD006_Mahan_1936.A_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PASD006_Mahan_1936.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASD006_Mahan_1936.B_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PASD006_Mahan_1936.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASD006_Mahan_1936.C_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PASD006_Mahan_1936.C_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PBSC104_Danae.A_Hull.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PBSC104_Danae.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PBSC104_Danae.B_Hull.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PBSC104_Danae.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC717_Yellow_Dragon.A_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSC717_Yellow_Dragon.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC717_Yellow_Dragon.B_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSC717_Yellow_Dragon.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC717_Yellow_Dragon.C_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSC717_Yellow_Dragon.C_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASC005_Omaha_1923.A_Hull_1923.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PASC005_Omaha_1923.A_Hull_1923.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASC005_Omaha_1923.B_Hull_1938.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PASC005_Omaha_1923.B_Hull_1938.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASC005_Omaha_1923.C_Hull_1944.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PASC005_Omaha_1923.C_Hull_1944.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASB008_Colorado_1945.B_Hull_1942.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PASB008_Colorado_1945.B_Hull_1942.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASB008_Colorado_1945.A_Hull_1921.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PASB008_Colorado_1945.A_Hull_1921.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASB008_Colorado_1945.ABC1_Engine.backwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB008_Colorado_1945.ABC1_Engine.forwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB008_Colorado_1945.ABC2_Engine.backwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB008_Colorado_1945.ABC2_Engine.forwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB008_Colorado_1945.C_Hull_1945.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PASB008_Colorado_1945.C_Hull_1945.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD207_Shiratsuyu.A_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSD207_Shiratsuyu.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD207_Shiratsuyu.B_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSD207_Shiratsuyu.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSB110_Grossdeutschland.A_Hull.floodParams[1] changed in second object (was 0.433, is 0.667)
root.PGSB110_Grossdeutschland.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSB110_Grossdeutschland.A_Engine.backwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PGSB110_Grossdeutschland.A_Engine.forwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PRSD308_Pr_48.A_Hull.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PRSD308_Pr_48.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD308_Pr_48.B_Hull.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PRSD308_Pr_48.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD308_Pr_48.EngineDefault.backwardSpeedOnFlood changed in second object (was -0.15, is -0.26)
root.PRSD308_Pr_48.EngineDefault.forwardSpeedOnFlood changed in second object (was -0.2, is -0.15)
root.PASD014_Leader_1919.B_Hull_1938.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PASD014_Leader_1919.B_Hull_1938.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASD014_Leader_1919.A_Hull_1919.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PASD014_Leader_1919.A_Hull_1919.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD001_Gremyashchy_1942.HullDefault.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PRSD001_Gremyashchy_1942.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PXSB001_Mr_Hyde.A_Hull_1912.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD206_Pr_7.A_Hull.floodParams[1] changed in second object (was 0.533, is 0.667)
root.PRSD206_Pr_7.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD206_Pr_7.B_Hull.floodParams[1] changed in second object (was 0.533, is 0.667)
root.PRSD206_Pr_7.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSD106_Ernst_Gaede.A_Hull.floodParams[1] changed in second object (was 0.533, is 0.667)
root.PGSD106_Ernst_Gaede.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSD106_Ernst_Gaede.B_Hull.floodParams[1] changed in second object (was 0.533, is 0.667)
root.PGSD106_Ernst_Gaede.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSD106_Ernst_Gaede.AB_Engine.backwardSpeedOnFlood changed in second object (was -0.15, is -0.26)
root.PGSD106_Ernst_Gaede.AB_Engine.forwardSpeedOnFlood changed in second object (was -0.2, is -0.15)
root.PGSD103_G_101.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSD103_G_101.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSD105_T_22.A_Hull.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PGSD105_T_22.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSD105_T_22.AB1_Artillery.HP_GGM_3.rotationSpeed[0] changed in second object (was 10.0, is 10.5)
root.PGSD105_T_22.AB1_Artillery.HP_GGM_4.rotationSpeed[0] changed in second object (was 10.0, is 10.5)
root.PGSD105_T_22.AB1_Artillery.HP_GGM_2.rotationSpeed[0] changed in second object (was 10.0, is 10.5)
root.PGSD105_T_22.AB1_Artillery.HP_GGM_1.rotationSpeed[0] changed in second object (was 10.0, is 10.5)
root.PGSD105_T_22.B_Hull.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PGSD105_T_22.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSD105_T_22.AB_Engine.backwardSpeedOnFlood changed in second object (was -0.15, is -0.26)
root.PGSD105_T_22.AB_Engine.forwardSpeedOnFlood changed in second object (was -0.2, is -0.15)
root.PJSA015_Taiho_1944.A_Hull_1944.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PJSA015_Taiho_1944.A_Hull_1944.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSA015_Taiho_1944.B_Hull_1945.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PJSA015_Taiho_1944.B_Hull_1945.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC038_Atago_1944.HullDefault.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PJSC038_Atago_1944.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASD502_Smith.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASD502_Smith.EngineDefault.forwardSpeedOnFlood changed in second object (was -0.2, is -0.15)
root.PASD013_Gearing_1945.HullDefault.floodParams[1] changed in second object (was 0.433, is 0.667)
root.PASD013_Gearing_1945.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSB018_Yamato_1944.ArtilleryDefault.HP_JGM_1.vertSector[0] changed in second object (was 0.0, is 2.1)
root.PJSB018_Yamato_1944.ArtilleryDefault.HP_JGM_2.vertSector[0] changed in second object (was -2.0, is 2.1)
root.PJSB018_Yamato_1944.ArtilleryDefault.HP_JGM_2.pitchDeadZones[0] removed in second object
root.PJSB018_Yamato_1944.ArtilleryDefault.HP_JGM_3.vertSector[0] changed in second object (was -2.0, is 1.1)
root.PJSB018_Yamato_1944.HullDefault.floodParams[1] changed in second object (was 0.433, is 0.667)
root.PJSB018_Yamato_1944.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD105_Mutsuki.A_Hull_1942.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PJSD105_Mutsuki.A_Hull_1942.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD105_Mutsuki.B_Hull_1942.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PJSD105_Mutsuki.B_Hull_1942.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSX702_Support.HullDefault.floodParams[1] changed in second object (was -1.0, is 0.667)
root.PJSX702_Support.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD106_Pr_30_Ognevoy.A_Hull.floodParams[1] changed in second object (was 0.533, is 0.667)
root.PRSD106_Pr_30_Ognevoy.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD106_Pr_30_Ognevoy.B_Hull.floodParams[1] changed in second object (was 0.533, is 0.667)
root.PRSD106_Pr_30_Ognevoy.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD106_Pr_30_Ognevoy.EngineDefault.backwardSpeedOnFlood changed in second object (was -0.15, is -0.26)
root.PRSD106_Pr_30_Ognevoy.EngineDefault.forwardSpeedOnFlood changed in second object (was -0.2, is -0.15)
root.PJSD206_Hatsuharu.B_Hull_1945.floodParams[1] changed in second object (was 0.533, is 0.667)
root.PJSD206_Hatsuharu.B_Hull_1945.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD206_Hatsuharu.A_Hull_1935.floodParams[1] changed in second object (was 0.533, is 0.667)
root.PJSD206_Hatsuharu.A_Hull_1935.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSC508_Kutuzov_1952.A_Hull.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PRSC508_Kutuzov_1952.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSB708_Hiei_Arpeggio.B_Hull_1941.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PJSB708_Hiei_Arpeggio.B_Hull_1941.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSB708_Hiei_Arpeggio.C_Hull_1942.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PJSB708_Hiei_Arpeggio.C_Hull_1942.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSC107_Schors.A_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PRSC107_Schors.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSC107_Schors.B_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PRSC107_Schors.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD026_Camo_Kamikaze.HullDefault.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PJSD026_Camo_Kamikaze.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSC110_Hindenburg.HullDefault.floodParams[1] changed in second object (was 0.433, is 0.667)
root.PGSC110_Hindenburg.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PCEF007_ID_SignalFlag.costGold changed in second object (was 2, is 10)
root.PASD019_Clemson_1920.A_Hull_1920.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PASD019_Clemson_1920.A_Hull_1920.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASD019_Clemson_1920.B_Hull_1930.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PASD019_Clemson_1920.B_Hull_1930.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD110_Pr_24_Khabarovsk.A_Hull.floodParams[1] changed in second object (was 0.433, is 0.667)
root.PRSD110_Pr_24_Khabarovsk.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD110_Pr_24_Khabarovsk.EngineDefault.backwardSpeedOnFlood changed in second object (was -0.15, is -0.26)
root.PRSD110_Pr_24_Khabarovsk.EngineDefault.forwardSpeedOnFlood changed in second object (was -0.2, is -0.15)
root.PJSC705_Myoko.A_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSC705_Myoko.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC705_Myoko.B_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSC705_Myoko.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC705_Myoko.C_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSC705_Myoko.C_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASB001_Michigan_1916.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASB001_Michigan_1916.AB2_Engine.backwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB001_Michigan_1916.AB2_Engine.forwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB001_Michigan_1916.AB1_Engine.backwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB001_Michigan_1916.AB1_Engine.forwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB001_Michigan_1916.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PAGM025_8in55_Triple_Mk16.shotDelay changed in second object (was 6.0, is 5.5)
root.PASC019_Burlington_1944.HullDefault.floodParams[1] changed in second object (was 0.433, is 0.667)
root.PASC019_Burlington_1944.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC018_Tone.HullDefault.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSC018_Tone.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASC020_Des_Moines_1948.ArtilleryDefault.HP_AGM_1.shotDelay changed in second object (was 6.0, is 5.5)
root.PASC020_Des_Moines_1948.ArtilleryDefault.HP_AGM_3.shotDelay changed in second object (was 6.0, is 5.5)
root.PASC020_Des_Moines_1948.ArtilleryDefault.HP_AGM_2.shotDelay changed in second object (was 6.0, is 5.5)
root.PASC020_Des_Moines_1948.HullDefault.floodParams[1] changed in second object (was 0.433, is 0.667)
root.PASC020_Des_Moines_1948.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSA002_Hosho_1939.B_Hull_1939.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PJSA002_Hosho_1939.B_Hull_1939.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSA002_Hosho_1939.C_Hull_1941.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PJSA002_Hosho_1939.C_Hull_1941.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASC804_FALSE_ENEMY_Erie_1936.A_Hull_1936.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PZSD506_Anshan.A_Hull.floodParams[1] changed in second object (was 0.533, is 0.667)
root.PZSD506_Anshan.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSB001_Nikolay_I.HullDefault.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PRSB001_Nikolay_I.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSB801_False_Kawachi_1912.A_Hull_1912.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSB801_False_Kawachi_1912.B_Hull_1919.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSC505_KrasniKrym.A_Hull.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PRSC505_KrasniKrym.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSC002_Drezden_1908.A_Hull_1908.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSC002_Drezden_1908.B_Hull_1916.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PBSC101_Black_Swan.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PBSC507_Belfast_1959.A_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PBSC507_Belfast_1959.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD503_Isokaze.B_Hull_1925.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PJSD503_Isokaze.B_Hull_1925.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD503_Isokaze.A_Hull_1917.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PJSD503_Isokaze.A_Hull_1917.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSB002_Tirpiz_1942.HullDefault.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PGSB002_Tirpiz_1942.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASB004_Arkansas_1912.AB2_Engine.backwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB004_Arkansas_1912.AB2_Engine.forwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB004_Arkansas_1912.B_Hull_1942.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PASB004_Arkansas_1912.B_Hull_1942.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASB004_Arkansas_1912.AB1_Engine.backwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB004_Arkansas_1912.AB1_Engine.forwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB004_Arkansas_1912.A_Hull_1919.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PASB004_Arkansas_1912.A_Hull_1919.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD017_Kamikaze_1930.HullDefault.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PJSD017_Kamikaze_1930.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSC102_Novik.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSC102_Novik.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC037_Hashidate_1940.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC503_Katori.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD103_Derzky.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD103_Derzky.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD103_Derzky.EngineDefault.forwardSpeedOnFlood changed in second object (was -0.2, is -0.15)
root.PJSD010_Kagero_1943.A_Hull_1943.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PJSD010_Kagero_1943.A_Hull_1943.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD010_Kagero_1943.B_Hull_1941.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PJSD010_Kagero_1943.B_Hull_1941.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD010_Kagero_1943.C_Hull_1945.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PJSD010_Kagero_1943.C_Hull_1945.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASC024_Phoenix_1917.C_Hull_1938.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PASC024_Phoenix_1917.C_Hull_1938.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASC024_Phoenix_1917.B_Hull_1924.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PASC024_Phoenix_1917.B_Hull_1924.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASC024_Phoenix_1917.A_Hull_1917.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PASC024_Phoenix_1917.A_Hull_1917.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASB012_North_Carolina_1945.AB2_Engine.backwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB012_North_Carolina_1945.AB2_Engine.forwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
