>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PBPA009_152MM_AP_100LBS.bulletDetonator changed in second object (was 0.025, is 0.005)
root.PBSC109_Neptune.B_Hull.armor.65629 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.AB_Engine.forwardEngineForsagMaxSpeed changed in second object (was 2.5, is 31.155)
root.PBSC109_Neptune.AB_Engine.backwardEngineForsagMaxSpeed changed in second object (was 2.5, is 5.0)
root.PBSC109_Neptune.AB_Engine.forwardEngineForsag changed in second object (was 2.5, is 1.75)
root.PBSC109_Neptune.ShipAbilities.AbilitySlot2.abils[0][0] changed in second object (was PCY007_SpeedBooster, is PCY006_SmokeGenerator)
root.PBSC109_Neptune.ShipAbilities.AbilitySlot2.abils[0][1] changed in second object (was UK_CL, is UK_Lvl_9)
root.PBSC109_Neptune.ShipAbilities.AbilitySlot2.abils[1][0] changed in second object (was PCY015_SpeedBoosterPremium, is PCY014_SmokeGeneratorPremium)
root.PBSC109_Neptune.ShipAbilities.AbilitySlot2.abils[1][1] changed in second object (was UK_CL_PREM, is UK_Lvl_9_Gold)
root.PBSC109_Neptune.AB2_Torpedoes.HP_BGT_3.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC109_Neptune.AB2_Torpedoes.HP_BGT_2.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC109_Neptune.AB2_Torpedoes.HP_BGT_1.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC109_Neptune.AB2_Torpedoes.HP_BGT_4.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PASA015_Midway_1945.HullDefault.armor.65625 changed in second object (was 12.0, is 13.0)
root.PASA015_Midway_1945.HullDefault.armor.65626 changed in second object (was 12.0, is 13.0)
root.PGSC106_Nurnberg.A_Hull.armor.65584 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.A_Hull.armor.65585 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.A_Hull.armor.65603 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.A_Hull.armor.65593 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.A_Hull.armor.65629 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.A_Hull.armor.65630 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.B_Hull.armor.65584 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.B_Hull.armor.65585 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.B_Hull.armor.65603 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.B_Hull.armor.65593 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.B_Hull.armor.65629 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.B_Hull.armor.65630 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.C_Hull.armor.65584 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.C_Hull.armor.65585 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.C_Hull.armor.65603 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.C_Hull.armor.65593 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.C_Hull.armor.65629 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.C_Hull.armor.65630 changed in second object (was 19.0, is 16.0)
root.PBPA007_102MM_HE_MG_BS.ownTracerTexture changed in second object (was particles/trails/Trail_Gk.tga, is particles/trails/Trail_Gk_HE.tga)
root.PBPA007_102MM_HE_MG_BS.ownHatTracerTexture changed in second object (was particles/trails/Trail_Shell_Hat.tga, is particles/trails/Trail_Shell_Hat_HE.tga)
root.PBPA007_102MM_HE_MG_BS.bulletAlwaysRicochetAt changed in second object (was 75.0, is 60.0)
root.PBPA007_102MM_HE_MG_BS.tracerThickness changed in second object (was 0.077, is 0.11)
root.PBPA007_102MM_HE_MG_BS.bulletDetonator changed in second object (was 0.01, is 0.001)
root.PBPA007_102MM_HE_MG_BS.alphaDamage changed in second object (was 450.0, is 750.0)
root.PBPA007_102MM_HE_MG_BS.damage changed in second object (was 0.0, is 155.0)
root.PBPA007_102MM_HE_MG_BS.ammoType changed in second object (was AP, is HE)
root.PBPA007_102MM_HE_MG_BS.shellModelScale changed in second object (was 0.1, is 0.11)
root.PBPA007_102MM_HE_MG_BS.splashCubeSize changed in second object (was 0.0, is 0.3)
root.PBPA007_102MM_HE_MG_BS.burnProb changed in second object (was -0.5, is 0.06)
root.PBPA007_102MM_HE_MG_BS.splashArmorCoeff changed in second object (was 0.0, is -0.35)
root.PBPA007_102MM_HE_MG_BS.hatTracerTexture changed in second object (was particles/trails/Trail_Shell_Hat_Enemy.tga, is particles/trails/Trail_Shell_Hat_HE_Enemy.tga)
root.PBPA007_102MM_HE_MG_BS.volume changed in second object (was 0.0, is 0.46)
root.PBPA007_102MM_HE_MG_BS.bulletCapNormalizeMaxAngle changed in second object (was 10.0, is 68.0)
root.PBPA007_102MM_HE_MG_BS.alphaPiercingHE changed in second object (was 0.0, is 17.0)
root.PBPA007_102MM_HE_MG_BS.bulletKrupp changed in second object (was 1374.0, is 3.0)
root.PBPA007_102MM_HE_MG_BS.projDestroyedEffect changed in second object (was sfx/Explosion_127_AP_void.xml, is sfx/Explosion_127_HE_void.xml)
root.PBPA007_102MM_HE_MG_BS.tracerTexture changed in second object (was particles/trails/Trail_Gk_Enemy.tga, is particles/trails/Trail_Gk_HE_Enemy.tga)
root.PBPA007_102MM_HE_MG_BS.shellLength changed in second object (was 1.6, is 3.5)
root.PBPA007_102MM_HE_MG_BS.bulletRicochetAt changed in second object (was 60.0, is 91.0)
root.PBPA007_102MM_HE_MG_BS.bulletMass changed in second object (was 17.35, is 15.88)
root.PBPA007_102MM_HE_MG_BS.bulletDetonatorThreshold changed in second object (was 8.0, is 2.0)
root.PASD006_Mahan_1936.A_Hull.armor.65592 changed in second object (was 15.0, is 16.0)
root.PASD006_Mahan_1936.A_Hull.armor.131165 changed in second object (was 15.0, is 16.0)
root.PASD006_Mahan_1936.A_Hull.armor.65584 changed in second object (was 12.0, is 16.0)
root.PASD006_Mahan_1936.A_Hull.armor.131128 changed in second object (was 12.0, is 16.0)
root.PASD006_Mahan_1936.A_Hull.armor.65629 changed in second object (was 12.0, is 16.0)
root.PASD006_Mahan_1936.B_Hull.armor.65592 changed in second object (was 15.0, is 16.0)
root.PASD006_Mahan_1936.B_Hull.armor.131165 changed in second object (was 15.0, is 16.0)
root.PASD006_Mahan_1936.B_Hull.armor.65584 changed in second object (was 12.0, is 16.0)
root.PASD006_Mahan_1936.B_Hull.armor.131128 changed in second object (was 12.0, is 16.0)
root.PASD006_Mahan_1936.B_Hull.armor.65629 changed in second object (was 12.0, is 16.0)
root.PASD006_Mahan_1936.C_Hull.armor.65592 changed in second object (was 15.0, is 16.0)
root.PASD006_Mahan_1936.C_Hull.armor.131165 changed in second object (was 15.0, is 16.0)
root.PASD006_Mahan_1936.C_Hull.armor.65584 changed in second object (was 12.0, is 16.0)
root.PASD006_Mahan_1936.C_Hull.armor.131128 changed in second object (was 12.0, is 16.0)
root.PASD006_Mahan_1936.C_Hull.armor.65629 changed in second object (was 12.0, is 16.0)
root.PBGM053_4in45_QF_Mk_XIX.ammoList[0] changed in second object (was PBPA007_102MM_HE_MG_BS, is PBPA008_102MM_AP_MG_BS)
root.PBGT041_21in_Torpedo_Tubes_Twin_R.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PGSB002_Tirpiz_1942.HullDefault.armor.196664 changed in second object (was 170.0, is 240.0)
root.PGSB002_Tirpiz_1942.HullDefault.armor.131173 changed in second object (was 170.0, is 240.0)
root.PJSD207_Shiratsuyu.A_Hull.armor.65592 changed in second object (was 15.0, is 16.0)
root.PJSD207_Shiratsuyu.A_Hull.armor.65584 changed in second object (was 12.0, is 16.0)
root.PJSD207_Shiratsuyu.A_Hull.armor.131128 changed in second object (was 12.0, is 16.0)
root.PJSD207_Shiratsuyu.A_Hull.armor.65629 changed in second object (was 12.0, is 16.0)
root.PJSD207_Shiratsuyu.B_Hull.armor.65592 changed in second object (was 15.0, is 16.0)
root.PJSD207_Shiratsuyu.B_Hull.armor.65584 changed in second object (was 12.0, is 16.0)
root.PJSD207_Shiratsuyu.B_Hull.armor.131128 changed in second object (was 12.0, is 16.0)
root.PJSD207_Shiratsuyu.B_Hull.armor.65629 changed in second object (was 12.0, is 16.0)
root.PGSB110_Grossdeutschland.A_Hull.armor.65584 changed in second object (was 28.0, is 32.0)
root.PGSB110_Grossdeutschland.A_Hull.armor.131121 changed in second object (was 28.0, is 32.0)
root.PGSB110_Grossdeutschland.A_Hull.armor.65629 changed in second object (was 28.0, is 32.0)
root.PGSB110_Grossdeutschland.A_Hull.armor.131166 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.B_Hull_1941.armor.65584 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.B_Hull_1941.armor.65585 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.B_Hull_1941.armor.65629 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.B_Hull_1941.armor.65630 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.A_Hull_1926.armor.65584 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.A_Hull_1926.armor.65585 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.A_Hull_1926.armor.65630 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.A_Hull_1926.armor.65629 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.C_Hull_1944.armor.65584 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.C_Hull_1944.armor.65585 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.C_Hull_1944.armor.65629 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.C_Hull_1944.armor.65630 changed in second object (was 28.0, is 32.0)
root.PASD021_Fletcher_1943.A_Hull.armor.131128 changed in second object (was 12.0, is 19.0)
root.PASD021_Fletcher_1943.A_Hull.armor.65584 changed in second object (was 12.0, is 19.0)
root.PASD021_Fletcher_1943.A_Hull.armor.65585 changed in second object (was 12.0, is 13.0)
root.PASD021_Fletcher_1943.A_Hull.armor.65625 changed in second object (was 12.0, is 13.0)
root.PASD021_Fletcher_1943.A_Hull.armor.65626 changed in second object (was 12.0, is 13.0)
root.PASD021_Fletcher_1943.A_Hull.armor.65629 changed in second object (was 12.0, is 19.0)
root.PASD021_Fletcher_1943.A_Hull.armor.65630 changed in second object (was 12.0, is 13.0)
root.PASD021_Fletcher_1943.ShipModernization.ModernizationSlot6.mods[2] removed in first object
root.PASD021_Fletcher_1943.B_Hull.armor.65584 changed in second object (was 12.0, is 19.0)
root.PASD021_Fletcher_1943.B_Hull.armor.65585 changed in second object (was 12.0, is 13.0)
root.PASD021_Fletcher_1943.B_Hull.armor.65625 changed in second object (was 12.0, is 13.0)
root.PASD021_Fletcher_1943.B_Hull.armor.65626 changed in second object (was 12.0, is 13.0)
root.PASD021_Fletcher_1943.B_Hull.armor.65629 changed in second object (was 12.0, is 19.0)
root.PASD021_Fletcher_1943.B_Hull.armor.65630 changed in second object (was 12.0, is 13.0)
root.PJSA015_Taiho_1944.A_Hull_1944.armor.65625 changed in second object (was 12.0, is 13.0)
root.PJSA015_Taiho_1944.A_Hull_1944.armor.65626 changed in second object (was 12.0, is 13.0)
root.PJSA015_Taiho_1944.B_Hull_1945.armor.65625 changed in second object (was 12.0, is 13.0)
root.PJSA015_Taiho_1944.B_Hull_1945.armor.65626 changed in second object (was 12.0, is 13.0)
root.PASD013_Gearing_1945.ShipModernization.ModernizationSlot6.mods[2] removed in first object
root.PASD013_Gearing_1945.HullDefault.armor.65629 changed in second object (was 12.0, is 19.0)
root.PASD013_Gearing_1945.HullDefault.armor.65584 changed in second object (was 12.0, is 19.0)
root.PASD013_Gearing_1945.HullDefault.armor.131128 changed in second object (was 12.0, is 19.0)
root.PASD013_Gearing_1945.HullDefault.armor.65626 changed in second object (was 12.0, is 13.0)
root.PASD013_Gearing_1945.HullDefault.armor.65625 changed in second object (was 12.0, is 13.0)
root.PJSB018_Yamato_1944.HullDefault.armor.65584 changed in second object (was 28.0, is 32.0)
root.PJSB018_Yamato_1944.HullDefault.armor.131121 changed in second object (was 28.0, is 32.0)
root.PJSB018_Yamato_1944.HullDefault.armor.65629 changed in second object (was 28.0, is 32.0)
root.PJSB018_Yamato_1944.HullDefault.armor.131166 changed in second object (was 28.0, is 32.0)
root.PRSD106_Pr_30_Ognevoy.A_Hull.armor.65584 changed in second object (was 12.0, is 16.0)
root.PRSD106_Pr_30_Ognevoy.A_Hull.armor.131128 changed in second object (was 13.0, is 16.0)
root.PRSD106_Pr_30_Ognevoy.A_Hull.armor.65629 changed in second object (was 12.0, is 16.0)
root.PRSD106_Pr_30_Ognevoy.B_Hull.armor.65584 changed in second object (was 12.0, is 16.0)
root.PRSD106_Pr_30_Ognevoy.B_Hull.armor.131128 changed in second object (was 13.0, is 16.0)
root.PRSD106_Pr_30_Ognevoy.B_Hull.armor.65629 changed in second object (was 12.0, is 16.0)
root.PJSD206_Hatsuharu.B_Hull_1945.armor.65584 changed in second object (was 12.0, is 16.0)
root.PJSD206_Hatsuharu.B_Hull_1945.armor.65592 changed in second object (was 15.0, is 16.0)
root.PJSD206_Hatsuharu.B_Hull_1945.armor.131128 changed in second object (was 12.0, is 16.0)
root.PJSD206_Hatsuharu.B_Hull_1945.armor.65629 changed in second object (was 12.0, is 16.0)
root.PJSD206_Hatsuharu.A_Hull_1935.armor.65584 changed in second object (was 12.0, is 16.0)
root.PJSD206_Hatsuharu.A_Hull_1935.armor.65592 changed in second object (was 15.0, is 16.0)
root.PJSD206_Hatsuharu.A_Hull_1935.armor.131128 changed in second object (was 12.0, is 16.0)
root.PJSD206_Hatsuharu.A_Hull_1935.armor.65629 changed in second object (was 12.0, is 16.0)
root.PCY006_SmokeGenerator.UK_Lvl_6.workTime changed in second object (was 23.0, is 3.0)
root.PCY006_SmokeGenerator.UK_Lvl_6.radius changed in second object (was 15.0, is 20.0)
root.PCY006_SmokeGenerator.UK_Lvl_7.workTime changed in second object (was 23.0, is 3.0)
root.PCY006_SmokeGenerator.UK_Lvl_7.radius changed in second object (was 15.0, is 20.0)
root.PCY006_SmokeGenerator.UK_Lvl_4.workTime changed in second object (was 22.0, is 3.0)
root.PCY006_SmokeGenerator.UK_Lvl_4.radius changed in second object (was 15.0, is 20.0)
root.PCY006_SmokeGenerator.UK_Lvl_5.workTime changed in second object (was 22.0, is 3.0)
root.PCY006_SmokeGenerator.UK_Lvl_5.radius changed in second object (was 15.0, is 20.0)
root.PCY006_SmokeGenerator.UK_Lvl_2.workTime changed in second object (was 21.0, is 3.0)
root.PCY006_SmokeGenerator.UK_Lvl_2.radius changed in second object (was 15.0, is 20.0)
root.PCY006_SmokeGenerator.UK_Lvl_3.workTime changed in second object (was 21.0, is 3.0)
root.PCY006_SmokeGenerator.UK_Lvl_3.radius changed in second object (was 15.0, is 20.0)
root.PCY006_SmokeGenerator.UK_Lvl_8.workTime changed in second object (was 24.0, is 3.0)
root.PCY006_SmokeGenerator.UK_Lvl_8.radius changed in second object (was 15.0, is 20.0)
root.PCY006_SmokeGenerator.UK_Lvl_9.workTime changed in second object (was 24.0, is 3.0)
root.PCY006_SmokeGenerator.UK_Lvl_9.radius changed in second object (was 15.0, is 20.0)
root.PCY006_SmokeGenerator.UK_Lvl_10.workTime changed in second object (was 25.0, is 3.0)
root.PCY006_SmokeGenerator.UK_Lvl_10.radius changed in second object (was 15.0, is 20.0)
root.PRSD110_Pr_24_Khabarovsk.A_Hull.armor.65584 changed in second object (was 12.0, is 19.0)
root.PRSD110_Pr_24_Khabarovsk.A_Hull.armor.131128 changed in second object (was 16.0, is 19.0)
root.PRSD110_Pr_24_Khabarovsk.A_Hull.armor.65625 changed in second object (was 12.0, is 13.0)
root.PRSD110_Pr_24_Khabarovsk.A_Hull.armor.65626 changed in second object (was 12.0, is 13.0)
root.PRSD110_Pr_24_Khabarovsk.A_Hull.armor.65629 changed in second object (was 12.0, is 19.0)
root.PRSD110_Pr_24_Khabarovsk.ShipModernization.ModernizationSlot6.mods[2] removed in first object
root.PASB018_Iowa_1944.B_Hull.armor.65584 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.B_Hull.armor.65585 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.B_Hull.armor.65629 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.B_Hull.armor.65630 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.A_Hull.armor.65584 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.A_Hull.armor.65585 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.A_Hull.armor.65629 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.A_Hull.armor.65630 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.C_Hull.armor.65584 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.C_Hull.armor.65585 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.C_Hull.armor.65629 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.C_Hull.armor.65630 changed in second object (was 28.0, is 32.0)
root.PBPA016_152MM_AP_6CRH_MK4.bulletDetonator changed in second object (was 0.025, is 0.005)
root.PBPA016_152MM_AP_6CRH_MK4.alphaDamage changed in second object (was 1500.0, is 2700.0)
root.PBSC104_Danae.AB1_Torpedoes.HP_BGT_3.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC104_Danae.AB1_Torpedoes.HP_BGT_2.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC104_Danae.AB1_Torpedoes.HP_BGT_1.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC104_Danae.AB1_Torpedoes.HP_BGT_4.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC104_Danae.AB_Engine.forwardEngineForsagMaxSpeed changed in second object (was 2.5, is 27.9)
root.PBSC104_Danae.AB_Engine.backwardEngineForsagMaxSpeed changed in second object (was 2.5, is 5.0)
root.PBSC104_Danae.AB_Engine.forwardEngineForsag changed in second object (was 2.5, is 1.75)
root.PBSC104_Danae.AB2_Torpedoes.HP_BGT_3.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC104_Danae.AB2_Torpedoes.HP_BGT_2.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC104_Danae.AB2_Torpedoes.HP_BGT_1.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC104_Danae.AB2_Torpedoes.HP_BGT_4.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PJSA002_Hosho_1939.B_Hull_1939.armor.131159 changed in second object (was 16.0, is 13.0)
root.PJSA002_Hosho_1939.C_Hull_1941.armor.131159 changed in second object (was 16.0, is 13.0)
root.PBGT005_21in_Quad_Torpedo_Tube.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PZSD506_Anshan.A_Hull.armor.131128 changed in second object (was 12.0, is 16.0)
root.PZSD506_Anshan.A_Hull.armor.65584 changed in second object (was 12.0, is 16.0)
root.PZSD506_Anshan.A_Hull.armor.65585 changed in second object (was 13.0, is 16.0)
root.PZSD506_Anshan.A_Hull.armor.65592 changed in second object (was 13.0, is 16.0)
root.PZSD506_Anshan.A_Hull.armor.65593 changed in second object (was 13.0, is 16.0)
root.PZSD506_Anshan.A_Hull.armor.65629 changed in second object (was 12.0, is 16.0)
root.PZSD506_Anshan.A_Hull.armor.65630 changed in second object (was 13.0, is 16.0)
root.PBSC101_Black_Swan.A1_Artillery.maxDist changed in second object (was 7040.0, is 7950.0)
root.PBSC101_Black_Swan.A1_Artillery.HP_BGM_2.ammoList[0] changed in second object (was PBPA007_102MM_HE_MG_BS, is PBPA008_102MM_AP_MG_BS)
root.PBSC101_Black_Swan.A1_Artillery.HP_BGM_3.ammoList[0] changed in second object (was PBPA007_102MM_HE_MG_BS, is PBPA008_102MM_AP_MG_BS)
root.PBSC101_Black_Swan.A1_Artillery.HP_BGM_1.ammoList[0] changed in second object (was PBPA007_102MM_HE_MG_BS, is PBPA008_102MM_AP_MG_BS)
root.PBSC101_Black_Swan.A_Engine.forwardEngineForsagMaxSpeed changed in second object (was 2.5, is 17.67)
root.PBSC101_Black_Swan.A_Engine.backwardEngineForsagMaxSpeed changed in second object (was 2.5, is 5.0)
root.PBSC101_Black_Swan.A_Engine.forwardEngineForsag changed in second object (was 2.5, is 1.75)
root.PBSC507_Belfast_1959.A_Hull.armor.65584 changed in second object (was 16.0, is 13.0)
root.PBSC507_Belfast_1959.A_Hull.armor.65585 changed in second object (was 16.0, is 13.0)
root.PBSC507_Belfast_1959.A_Hull.armor.65629 changed in second object (was 16.0, is 13.0)
root.PBSC507_Belfast_1959.A_Hull.armor.65630 changed in second object (was 16.0, is 13.0)
root.PBSC507_Belfast_1959.ShipModernization.ModernizationSlot4.mods[1] changed in second object (was PCM024_Engine_Mod_II, is PCM025_SteeringGear_Mod_II)
root.PBSC507_Belfast_1959.ShipModernization.ModernizationSlot4.mods[2] removed in second object
root.PBSC507_Belfast_1959.ShipModernization.ModernizationSlot5 removed in first object
root.PBSC507_Belfast_1959.A_Engine.forwardEngineForsagMaxSpeed changed in second object (was 2.5, is 30.225)
root.PBSC507_Belfast_1959.A_Engine.backwardEngineForsagMaxSpeed changed in second object (was 2.5, is 5.0)
root.PBSC507_Belfast_1959.A_Engine.forwardEngineForsag changed in second object (was 2.5, is 1.75)
root.PJSD010_Kagero_1943.ShipModernization.ModernizationSlot6.mods[2] removed in first object
root.PJSD010_Kagero_1943.A_Hull_1943.armor.131128 changed in second object (was 12.0, is 19.0)
root.PJSD010_Kagero_1943.A_Hull_1943.armor.65584 changed in second object (was 12.0, is 19.0)
root.PJSD010_Kagero_1943.A_Hull_1943.armor.65592 changed in second object (was 15.0, is 19.0)
root.PJSD010_Kagero_1943.A_Hull_1943.armor.65625 changed in second object (was 12.0, is 13.0)
root.PJSD010_Kagero_1943.A_Hull_1943.armor.65626 changed in second object (was 12.0, is 13.0)
root.PJSD010_Kagero_1943.A_Hull_1943.armor.65629 changed in second object (was 12.0, is 19.0)
root.PJSD010_Kagero_1943.B_Hull_1941.armor.131128 changed in second object (was 12.0, is 19.0)
root.PJSD010_Kagero_1943.B_Hull_1941.armor.65584 changed in second object (was 12.0, is 19.0)
root.PJSD010_Kagero_1943.B_Hull_1941.armor.65592 changed in second object (was 15.0, is 19.0)
root.PJSD010_Kagero_1943.B_Hull_1941.armor.65625 changed in second object (was 12.0, is 13.0)
root.PJSD010_Kagero_1943.B_Hull_1941.armor.65626 changed in second object (was 12.0, is 13.0)
root.PJSD010_Kagero_1943.B_Hull_1941.armor.65629 changed in second object (was 12.0, is 19.0)
root.PJSD010_Kagero_1943.C_Hull_1945.armor.131128 changed in second object (was 12.0, is 19.0)
root.PJSD010_Kagero_1943.C_Hull_1945.armor.65584 changed in second object (was 12.0, is 19.0)
root.PJSD010_Kagero_1943.C_Hull_1945.armor.65592 changed in second object (was 15.0, is 19.0)
root.PJSD010_Kagero_1943.C_Hull_1945.armor.65625 changed in second object (was 12.0, is 13.0)
root.PJSD010_Kagero_1943.C_Hull_1945.armor.65626 changed in second object (was 12.0, is 13.0)
root.PJSD010_Kagero_1943.C_Hull_1945.armor.65629 changed in second object (was 12.0, is 19.0)
root.PZSD508_LoYang.A_Hull.armor.131128 changed in second object (was 16.0, is 19.0)
root.PZSD508_LoYang.A_Hull.armor.65584 changed in second object (was 12.0, is 19.0)
