>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PCPA023_140mm_BASIC_MG_AP.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 8.5)
root.PRGM047_130mm_B2U.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC709_Haguro.A_Hull.sinkingEffects changed in second object (was , is PCXS006_Cruiser)
root.PJSC709_Haguro.ArtilleryDefault.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC709_Haguro.ArtilleryDefault.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC709_Haguro.ArtilleryDefault.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC709_Haguro.ArtilleryDefault.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC709_Haguro.ArtilleryDefault.HP_JGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC709_Haguro.B_Hull.sinkingEffects changed in second object (was , is PCXS006_Cruiser)
root.PJSC709_Haguro.C_Hull.sinkingEffects changed in second object (was , is PCXS006_Cruiser)
root.PRPA047_180_AP_MOLOTOV.bulletCapNormalizeMaxAngle changed in second object (was 6.0, is 7.0)
root.PAPA066_SHELL_356MM_AP_MK_16_TEXAS.bulletCapNormalizeMaxAngle changed in second object (was 5.0, is 6.0)
root.PCPA037_305mm_BASIC_MG_AP.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 6.0)
root.PASC002_Chester_1908.B2_152_50.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC002_Chester_1908.B2_152_50.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC002_Chester_1908.B2_152_50.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC002_Chester_1908.B2_152_50.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC002_Chester_1908.B2_152_50.HP_AGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC002_Chester_1908.B2_152_50.HP_AGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC002_Chester_1908.B1_127_50.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC002_Chester_1908.B1_127_50.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC002_Chester_1908.B1_127_50.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC002_Chester_1908.B1_127_50.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC002_Chester_1908.B1_127_50.HP_AGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC002_Chester_1908.B1_127_50.HP_AGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC002_Chester_1908.A1_127_50.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC002_Chester_1908.A1_127_50.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC002_Chester_1908.A1_127_50.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC002_Chester_1908.A1_127_50.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAGM019_8in55_CA68.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJGM047_410mm45_Type3_RF_F.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRPA018_130MM_HE_OF_46_ORLAN.alphaDamage changed in second object (was 1600.0, is 800.0)
root.PRPA018_130MM_HE_OF_46_ORLAN.damage changed in second object (was 570.0, is 285.0)
root.PRGM067_220mm_SM6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJW012_Haguro.goldRetrainingPrice removed in second object
root.PJW012_Haguro.baseTrainingHirePrice removed in second object
root.PJW012_Haguro.moneyRetrainingPrice removed in second object
root.PJW012_Haguro.goldTrainingHirePrice removed in second object
root.PJW012_Haguro.moneyTrainingHirePrice removed in second object
root.PJSC503_Katori.permoflages[0] changed in second object (was PJEP403_Katori, is PCEP103_Permo_Prem_Low_lvl)
root.PJSC503_Katori.A1_Artillery.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC503_Katori.A1_Artillery.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC503_Katori.nativePermoflage changed in second object (was PJEP403_Katori, is PCEP103_Permo_Prem_Low_lvl)
root.PJSC503_Katori.groupCustom.CN changed in second object (was special, is premium)
root.PAGM052_12in45_Mk5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC035_Chikuma_1912.B1_152_45.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC035_Chikuma_1912.B1_152_45.HP_JGM_8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC035_Chikuma_1912.B1_152_45.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC035_Chikuma_1912.B1_152_45.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC035_Chikuma_1912.B1_152_45.HP_JGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC035_Chikuma_1912.B1_152_45.HP_JGM_7.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC035_Chikuma_1912.B1_152_45.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC035_Chikuma_1912.B1_152_45.HP_JGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC035_Chikuma_1912.A1_152_45.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC035_Chikuma_1912.A1_152_45.HP_JGM_8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC035_Chikuma_1912.A1_152_45.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC035_Chikuma_1912.A1_152_45.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJGM105_152mm45.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB801_False_Michigan_1916.ArtilleryDefault.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB801_False_Michigan_1916.ArtilleryDefault.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB801_False_Michigan_1916.ArtilleryDefault.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB801_False_Michigan_1916.ArtilleryDefault.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PZW001_DefaultCrew.goldRetrainingPrice removed in second object
root.PZW001_DefaultCrew.baseTrainingHirePrice removed in second object
root.PZW001_DefaultCrew.moneyRetrainingPrice removed in second object
root.PZW001_DefaultCrew.goldTrainingHirePrice removed in second object
root.PZW001_DefaultCrew.moneyTrainingHirePrice removed in second object
root.PJUS002_Suo.costXP changed in second object (was 1, is 100)
root.PJUS002_Suo.costCR changed in second object (was 500, is 6300)
root.PJGM062_203mm50_Type_E_RF8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAGM115_8in50_Mk14_Mod2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB034_New_Mexico_1941.A1_Artillery.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB034_New_Mexico_1941.A1_Artillery.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB034_New_Mexico_1941.A1_Artillery.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB034_New_Mexico_1941.A1_Artillery.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB034_New_Mexico_1941.B1_Artillery.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB034_New_Mexico_1941.B1_Artillery.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB034_New_Mexico_1941.B1_Artillery.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB034_New_Mexico_1941.B1_Artillery.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB034_New_Mexico_1941.C1_Artillery.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB034_New_Mexico_1941.C1_Artillery.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB034_New_Mexico_1941.C1_Artillery.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB034_New_Mexico_1941.C1_Artillery.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJPA041_76mm_AP_Type_0.bulletCapNormalizeMaxAngle changed in second object (was 68.0, is 10.0)
root.PJSC015_Tatsuta_1919.ArtilleryDefault.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC015_Tatsuta_1919.ArtilleryDefault.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC015_Tatsuta_1919.ArtilleryDefault.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC015_Tatsuta_1919.ArtilleryDefault.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC108_Pr_68_Chapaev.permoflages[0] removed in first object
root.PRSC108_Pr_68_Chapaev.A1_Artillery.HP_RGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC108_Pr_68_Chapaev.A1_Artillery.HP_RGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC108_Pr_68_Chapaev.A1_Artillery.HP_RGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC108_Pr_68_Chapaev.A1_Artillery.HP_RGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC108_Pr_68_Chapaev.A_AirArmament.HP_RC_1.angle changed in second object (was -55.0, is 84.7)
root.PRSC108_Pr_68_Chapaev.B1_Artillery.HP_RGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC108_Pr_68_Chapaev.B1_Artillery.HP_RGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC108_Pr_68_Chapaev.B1_Artillery.HP_RGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC108_Pr_68_Chapaev.B1_Artillery.HP_RGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJGM101_410mm50.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PCGM354_350mm_BASIC_4_barrel.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC106_Nurnberg.permoflages[0] changed in second object (was PGEP406_Nurnberg, is PCEP301_Permo_NY)
root.PGSC106_Nurnberg.AB1_Artillery.HP_GGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC106_Nurnberg.AB1_Artillery.HP_GGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC106_Nurnberg.AB1_Artillery.HP_GGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC106_Nurnberg.C1_Artillery.HP_GGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC106_Nurnberg.C1_Artillery.HP_GGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC106_Nurnberg.C1_Artillery.HP_GGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PCGM352_350mm_BASIC_2_barrel.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB011_Mikasa_1905.permoflages[0] changed in second object (was PJEP311_Mikasa_1905, is PCEP103_Permo_Prem_Low_lvl)
root.PJSB011_Mikasa_1905.ArtilleryDefault.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB011_Mikasa_1905.ArtilleryDefault.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB011_Mikasa_1905.nativePermoflage changed in second object (was PJEP311_Mikasa_1905, is PCEP103_Permo_Prem_Low_lvl)
root.PJSB011_Mikasa_1905.groupCustom.EU changed in second object (was special, is premium)
root.PJSB011_Mikasa_1905.groupCustom.CN changed in second object (was special, is premium)
root.PRPA037_180_AP_B_32_S.bulletCapNormalizeMaxAngle changed in second object (was 6.0, is 7.0)
root.PBPA002_381mm_AP_APC_MarkXXIIb.bulletCapNormalizeMaxAngle changed in second object (was 5.05, is 6.0)
root.PASD006_Mahan_1936.C_Artillery.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASD006_Mahan_1936.C_Artillery.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASD006_Mahan_1936.C_Artillery.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASD006_Mahan_1936.C_Artillery.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASD006_Mahan_1936.AB_Artillery.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASD006_Mahan_1936.AB_Artillery.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASD006_Mahan_1936.AB_Artillery.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASD006_Mahan_1936.AB_Artillery.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASD006_Mahan_1936.AB_Artillery.HP_AGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PCGM302_300mm_BASIC_2_barrel.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC717_Yellow_Dragon.A_Hull.sinkingEffects changed in second object (was , is PCXS006_Cruiser)
root.PJSC717_Yellow_Dragon.ArtilleryDefault.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC717_Yellow_Dragon.ArtilleryDefault.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC717_Yellow_Dragon.ArtilleryDefault.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC717_Yellow_Dragon.ArtilleryDefault.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC717_Yellow_Dragon.ArtilleryDefault.HP_JGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC717_Yellow_Dragon.B_Hull.sinkingEffects changed in second object (was , is PCXS006_Cruiser)
root.PJSC717_Yellow_Dragon.C_Hull.sinkingEffects changed in second object (was , is PCXS006_Cruiser)
root.PAUS002_Suo.costXP changed in second object (was 1, is 100)
root.PAUS002_Suo.costCR changed in second object (was 1, is 6000)
root.PBGM009_15in42_MK1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJPA003_Shell_152mm_AP_C_Type_4.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 8.5)
root.PAPA019_Shell_152mm_AP_AP_Mk_35.bulletCapNormalizeMaxAngle changed in second object (was 6.8, is 8.5)
root.PAPA009_Shell_406mm_AP_AP_Mk_3.bulletCapNormalizeMaxAngle changed in second object (was 4.0, is 6.0)
root.PAGM159_6in53_Mk13_Single.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAGM121_5in51_Mk_7_mod2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB707_Haruna.B_Hull_1941.sinkingEffects changed in second object (was , is PCXS000_Battleship)
root.PJSB707_Haruna.A1_356_45.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB707_Haruna.A1_356_45.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB707_Haruna.A1_356_45.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB707_Haruna.A1_356_45.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB707_Haruna.B1_356_45.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB707_Haruna.B1_356_45.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB707_Haruna.B1_356_45.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB707_Haruna.B1_356_45.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB707_Haruna.A_Hull_1913.sinkingEffects changed in second object (was , is PCXS000_Battleship)
root.PJSB707_Haruna.C_Hull_1942.sinkingEffects changed in second object (was , is PCXS000_Battleship)
root.PJSB707_Haruna.C1_356_45.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB707_Haruna.C1_356_45.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB707_Haruna.C1_356_45.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB707_Haruna.C1_356_45.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAGM114_8in50_Mk14_Mod1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PFSB506_Dunkerque_1940.permoflages[0] changed in second object (was PFEP306_Dunkerque_1940, is PCEP107_Permo_Prem_High_lvl)
root.PFSB506_Dunkerque_1940.A1_Artillery.HP_FGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PFSB506_Dunkerque_1940.A1_Artillery.HP_FGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PFSB506_Dunkerque_1940.nativePermoflage changed in second object (was PFEP306_Dunkerque_1940, is PCEP107_Permo_Prem_High_lvl)
root.PJPA011_Shell_127mm_AP_Type_0.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 10.0)
root.PAGM117_6in53_Mk13_Single.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB002_Tirpiz_1942.permoflages[0] changed in second object (was PGEP302_Tirpiz_1942, is PCEP107_Permo_Prem_High_lvl)
root.PGSB002_Tirpiz_1942.ArtilleryDefault.HP_GGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB002_Tirpiz_1942.ArtilleryDefault.HP_GGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB002_Tirpiz_1942.ArtilleryDefault.HP_GGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB002_Tirpiz_1942.ArtilleryDefault.HP_GGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
